time,revenue,auctions,impressions,z_score_revenue_modified,z_score_auctions_modified,z_score_impressions_modified
00:00:00,0.03183800125,94.25,32.75,-1.55913585999989,-1.700000579281358,-1.733375545953106
00:01:00,0.0454724654999999,118.0,36.5,-1.2186761793033403,-1.5841457462050421,-1.6658224253192568
00:02:00,0.047153677,130.25,47.5,-1.176695451643036,-1.524389042828837,-1.4676666047932991
00:03:00,0.0306638329999999,124.25,39.0,-1.5884554533589808,-1.5536576322375903,-1.6207870115633574
00:04:00,0.03318567,128.25,41.5,-1.5254838687007288,-1.5341452392984214,-1.5757515978074579
00:05:00,0.03033132375,112.25,39.5,-1.5967583826863005,-1.6121948110550974,-1.6117799288121775
00:06:00,0.03228111625,107.0,35.25,-1.548071047430386,-1.6378048267877567,-1.6883401321972065
00:07:00,0.030539363,102.75,40.0,-1.591563534151834,-1.6585367442856238,-1.6027728460609976
00:08:00,0.03909153525,96.5,34.5,-1.3780113343654057,-1.6890248582530754,-1.7018507563239762
00:09:00,0.0226985425,87.75,26.25,-1.7873529098751213,-1.7317082178075076,-1.8504676217184444
00:10:00,0.0280636675,108.25,35.0,-1.6533829414990564,-1.6317072039942664,-1.6928436735727963
00:11:00,0.02395255175,93.5,30.5,-1.7560396451206577,-1.703659152957452,-1.7739074183334154
00:12:00,0.0203509325,84.25,26.25,-1.8459739555095351,-1.7487815616292806,-1.8504676217184444
00:13:00,0.03213334225,93.75,33.5,-1.5517610412528606,-1.7024396283987542,-1.719864921826336
00:14:00,0.0224419285,78.75,28.25,-1.7937606952416982,-1.7756111019206378,-1.8144392907137248
00:15:00,0.0151093414249999,86.25,25.25,-1.9768592173735233,-1.7390253651596959,-1.8684817872208042
00:16:00,0.01976156475,86.25,26.5,-1.860690775495905,-1.7390253651596959,-1.8459640803428545
00:17:00,0.0236304145,103.75,32.75,-1.7640835802005024,-1.6536586460508316,-1.733375545953106
00:18:00,0.0229630312499999,97.75,33.75,-1.7807484878955193,-1.682927235459585,-1.7153613804507462
00:19:00,0.02387494975,105.25,31.5,-1.7579774075187227,-1.646341498698643,-1.7558932528310556
00:20:00,0.02581139375,114.0,36.75,-1.7096233912670935,-1.603658139144211,-1.6613188839436668
00:21:00,0.019105673,77.75,23.0,-1.8770687344447872,-1.78048920015543,-1.9090136596011136
00:22:00,0.01688711875,93.5,23.5,-1.9324671907180493,-1.703659152957452,-1.900006576849934
00:23:00,0.02646095225,91.0,29.5,-1.6934035768725726,-1.7158543985444328,-1.7919215838357752
00:24:00,0.039146899,122.5,41.5,-1.3766288726638274,-1.562194304148477,-1.5757515978074579
00:25:00,0.02602312275,92.5,33.5,-1.7043364077514633,-1.7085372511922443,-1.719864921826336
00:26:00,0.021601137,105.5,36.0,-1.8147556973461905,-1.6451219741399452,-1.6748295080704367
00:27:00,0.02332527425,104.0,38.5,-1.7717030913289038,-1.6524391214921335,-1.6297940943145373
00:28:00,0.0231659904999999,117.75,38.0,-1.775680489609528,-1.58536527076374,-1.6388011770657172
00:29:00,0.0160761795,101.0,29.0,-1.9527167665764702,-1.6670734161965102,-1.800928666586955
00:30:00,0.02465162775,96.25,32.5,-1.7385833529350203,-1.6902443828117735,-1.7378790873286958
00:31:00,0.0261799375,95.0,29.25,-1.700420661688063,-1.6963420056052638,-1.796425125211365
00:32:00,0.0291391272499999,119.0,38.25,-1.6265281508469807,-1.5792676479702497,-1.634297635690127
00:33:00,0.02406515175,106.75,34.0,-1.7532279644162667,-1.6390243513464549,-1.710857839075156
00:34:00,0.0235444724999999,97.25,30.25,-1.7662295967466572,-1.6853662845769812,-1.7784109597090054
00:35:00,0.02904969775,105.25,35.5,-1.6287612520863504,-1.646341498698643,-1.6838365908216164
00:36:00,0.03218257275,101.25,38.75,-1.550531730001373,-1.6658538916378123,-1.6252905529389472
00:37:00,0.042634182,104.75,36.25,-1.2895495980470404,-1.6487805478160393,-1.6703259666948467
00:38:00,0.03487154775,105.5,35.5,-1.4833866223451617,-1.6451219741399452,-1.6838365908216164
00:39:00,0.02296251025,95.0,31.75,-1.7807614975371422,-1.6963420056052638,-1.7513897114554657
00:40:00,0.019683507375,88.75,28.0,-1.8626399088451313,-1.7268301195727154,-1.8189428320893148
00:41:00,0.03337268975,104.75,40.5,-1.5208138880398498,-1.6487805478160393,-1.5937657633098177
00:42:00,0.03039888525,98.5,32.0,-1.5950713368078842,-1.6792686617834909,-1.7468861700798757
00:43:00,0.0313812535,92.25,34.25,-1.5705410894443743,-1.7097567757509424,-1.7063542976995663
00:44:00,0.034920011,95.25,37.0,-1.4821764697261826,-1.6951224810465657,-1.656815342568077
00:45:00,0.02153447125,62.75,21.25,-1.8164203758801047,-1.8536606736773138,-1.9405384492302433
00:46:00,0.015120833,83.25,22.75,-1.976572266754599,-1.7536596598640728,-1.9135172009767036
00:47:00,0.0289520860749999,85.25,33.25,-1.6311986665012799,-1.7439034633944883,-1.724368463201926
00:48:00,0.01977061925,90.75,24.25,-1.8604646799103108,-1.717073923103131,-1.886495952723164
00:49:00,0.02410578975,70.75,27.25,-1.752213212369508,-1.8146358877989759,-1.8324534562160846
00:50:00,0.018552291,81.5,29.25,-1.8908869714923646,-1.7621963317749592,-1.796425125211365
00:51:00,0.0241512205,87.0,31.0,-1.7510787828565326,-1.7353667914836017,-1.7649003355822355
00:52:00,0.0312389065,98.5,30.25,-1.5740955682474642,-1.6792686617834909,-1.7784109597090054
00:53:00,0.03630699,96.25,29.0,-1.44754288098999,-1.6902443828117735,-1.800928666586955
00:54:00,0.01725636825,87.0,26.25,-1.9232468381935734,-1.7353667914836017,-1.8504676217184444
00:55:00,0.02285433175,95.0,25.0,-1.783462771081369,-1.6963420056052638,-1.8729853285963942
00:56:00,0.015718534575,84.25,23.25,-1.9616473468131115,-1.7487815616292806,-1.9045101182255237
00:57:00,0.018585219525,65.0,21.0,-1.8900647290557167,-1.8426849526490312,-1.9450419906058332
00:58:00,0.02406366975,69.75,20.5,-1.7532649707289123,-1.8195139860337681,-1.954049073357013
00:59:00,0.018372632,70.75,22.75,-1.895373150388192,-1.8146358877989759,-1.9135172009767036
01:00:00,0.0252512075,82.5,25.25,-1.7236115339845899,-1.757318233540167,-1.8684817872208042
01:01:00,0.02934769525,95.0,30.25,-1.621320099149346,-1.6963420056052638,-1.7784109597090054
01:02:00,0.02605933525,97.5,27.75,-1.7034321627469542,-1.6841467600182831,-1.8234463734649047
01:03:00,0.02998132525,85.25,30.5,-1.6054980277042024,-1.7439034633944883,-1.7739074183334154
01:04:00,0.0375831759999999,103.0,40.25,-1.4156758512261047,-1.6573172197269257,-1.5982693046854075
01:05:00,0.044640145,117.75,38.75,-1.2394596561214455,-1.58536527076374,-1.6252905529389472
01:06:00,0.019963183375,84.25,20.0,-1.855656253315103,-1.7487815616292806,-1.963056156108193
01:07:00,0.02845014975,91.0,28.25,-1.6437322782227282,-1.7158543985444328,-1.8144392907137248
01:08:00,0.03081257025,101.25,33.0,-1.58474140668181,-1.6658538916378123,-1.7288720045775159
01:09:00,0.0310864902499999,103.75,31.25,-1.577901481472694,-1.6536586460508316,-1.7603967942066456
01:10:00,0.0199550625,81.75,27.25,-1.8558590357976987,-1.760976807216261,-1.8324534562160846
01:11:00,0.02564086975,78.0,25.0,-1.7138814644503577,-1.779269675596732,-1.8729853285963942
01:12:00,0.02076794625,69.75,23.25,-1.8355609047605062,-1.8195139860337681,-1.9045101182255237
01:13:00,0.0214180044999999,66.0,20.5,-1.8193286113479412,-1.837806854414239,-1.954049073357013
01:14:00,0.03303787175,106.0,37.0,-1.5291744680583463,-1.642682925022549,-1.656815342568077
01:15:00,0.02780373725,87.5,30.25,-1.6598735353570713,-1.7329277423662057,-1.7784109597090054
01:16:00,0.02759126175,105.75,36.25,-1.6651791593668919,-1.643902449581247,-1.6703259666948467
01:17:00,0.03170193825,117.0,40.75,-1.5625334240467954,-1.5890238444398344,-1.5892622219342276
01:18:00,0.024528313,104.75,31.5,-1.7416625865330826,-1.6487805478160393,-1.7558932528310556
01:19:00,0.0195146904999999,69.5,26.0,-1.8668553542271327,-1.8207335105924662,-1.8549711630940344
01:20:00,0.0236571565,96.75,33.5,-1.7634158185184703,-1.6878053336943772,-1.719864921826336
01:21:00,0.019129796,67.0,21.75,-1.8764663705581794,-1.8329287561794467,-1.9315313664790634
01:22:00,0.02047165075,72.25,27.75,-1.8429595578701672,-1.8073187404467874,-1.8234463734649047
01:23:00,0.0259094347499999,87.0,33.5,-1.707175256383089,-1.7353667914836017,-1.719864921826336
01:24:00,0.0280745705,75.5,24.5,-1.6531106879047406,-1.7914649211837126,-1.8819924113475741
01:25:00,0.021018871,79.25,23.25,-1.8292951829325388,-1.7731720528032417,-1.9045101182255237
01:26:00,0.02676160825,92.0,32.75,-1.6858960398045502,-1.7109763003096405,-1.733375545953106
01:27:00,0.017482955,65.25,21.25,-1.917588848914305,-1.8414654280903333,-1.9405384492302433
01:28:00,0.02114589125,112.75,30.25,-1.8261234210676018,-1.6097557619377014,-1.7784109597090054
01:29:00,0.02138308775,86.25,26.75,-1.8202005007994044,-1.7390253651596959,-1.8414605389672645
01:30:00,0.025759578,97.25,30.75,-1.71091725755891,-1.6853662845769812,-1.7694038769578255
01:31:00,0.0218628467499999,56.5,18.25,-1.8082206684454296,-1.8841487876447653,-1.9945809457373227
01:32:00,0.026879240125,78.5,24.75,-1.6829587105580244,-1.7768306264793359,-1.877488869971984
01:33:00,0.0217807825,75.75,24.5,-1.8102698555524015,-1.7902453966250147,-1.8819924113475741
01:34:00,0.025374681,93.5,29.75,-1.7205283363162631,-1.703659152957452,-1.7874180424601853
01:35:00,0.0163929585749999,66.5,18.25,-1.9448066279198801,-1.835367805296843,-1.9945809457373227
01:36:00,0.01685438625,74.75,24.25,-1.9332845383082486,-1.795123494859807,-1.886495952723164
01:37:00,0.0262051479999999,89.0,34.5,-1.6997911423594863,-1.7256105950140173,-1.7018507563239762
01:38:00,0.0242127025,86.25,25.75,-1.749543545262684,-1.7390253651596959,-1.8594747044696243
01:39:00,0.0286940289999999,88.75,28.75,-1.6376424862029588,-1.7268301195727154,-1.8054322079625449
01:40:00,0.021652675,76.5,24.75,-1.81346876661668,-1.7865868229489204,-1.877488869971984
01:41:00,0.02031677475,57.75,22.75,-1.8468268923352935,-1.878051164851275,-1.9135172009767036
01:42:00,0.0363071927499999,93.5,34.0,-1.447537818216788,-1.703659152957452,-1.710857839075156
01:43:00,0.01887872175,72.75,24.0,-1.882735825479089,-1.8048796913293914,-1.890999494098754
01:44:00,0.0118159815,60.0,15.5,-2.0590961317051066,-1.8670754438229926,-2.044119900868812
01:45:00,0.0181424525,75.25,20.0,-1.9011208525080527,-1.7926844457424107,-1.963056156108193
01:46:00,0.012711073875,79.0,15.75,-2.0367452084419195,-1.7743915773619399,-2.039616359493222
01:47:00,0.0226615215,95.25,23.75,-1.788277343546145,-1.6951224810465657,-1.8955030354743438
01:48:00,0.0320156432499999,102.5,34.0,-1.5547000466456349,-1.659756268844322,-1.710857839075156
01:49:00,0.04587380275,106.0,39.25,-1.208654578932305,-1.642682925022549,-1.6162834701877673
01:50:00,0.0237193695,92.25,25.25,-1.7618623274735121,-1.7097567757509424,-1.8684817872208042
01:51:00,0.0214225085,77.25,21.75,-1.819216144119763,-1.7829282492728262,-1.9315313664790634
01:52:00,0.0277676967499999,82.5,24.75,-1.6607734854319103,-1.757318233540167,-1.877488869971984
01:53:00,0.019543461625,78.75,21.75,-1.8661369242359571,-1.7756111019206378,-1.9315313664790634
01:54:00,0.0219442435,102.25,26.25,-1.8061881491614562,-1.66097579340302,-1.8504676217184444
01:55:00,0.02638884725,80.0,28.0,-1.6952040763147584,-1.7695134791271476,-1.8189428320893148
01:56:00,0.02249552875,72.5,23.75,-1.7924222690545264,-1.8060992158880893,-1.8955030354743438
01:57:00,0.0228003675,62.75,26.75,-1.7848102865383133,-1.8536606736773138,-1.8414605389672645
01:58:00,0.01572713175,65.5,18.0,-1.961432670871195,-1.8402459035316352,-1.9990844871129125
01:59:00,0.030186476,91.25,35.25,-1.6003753065206647,-1.7146348739857347,-1.6883401321972065
02:00:00,0.03102103775,78.0,29.25,-1.579535864521574,-1.779269675596732,-1.796425125211365
02:01:00,0.023917467125,78.0,26.75,-1.7569157264983957,-1.779269675596732,-1.8414605389672645
02:02:00,0.0312698943749999,86.75,31.5,-1.5733217848530832,-1.7365863160422998,-1.7558932528310556
02:03:00,0.0421394515,93.75,32.75,-1.3019032765614598,-1.7024396283987542,-1.733375545953106
02:04:00,0.0204764809999999,71.5,23.25,-1.8428389440094026,-1.8109773141228815,-1.9045101182255237
02:05:00,0.027310348,79.25,24.0,-1.6721937221597256,-1.7731720528032417,-1.890999494098754
02:06:00,0.0352839575,91.75,36.25,-1.4730885358764438,-1.7121958248683387,-1.6703259666948467
02:07:00,0.0373690319999999,102.75,41.25,-1.4210231385508034,-1.6585367442856238,-1.5802551391830477
02:08:00,0.023541817125,57.5,20.75,-1.7662959028447933,-1.879270689409973,-1.9495455319814232
02:09:00,0.03119757125,91.25,31.0,-1.5751277309902365,-1.7146348739857347,-1.7649003355822355
02:10:00,0.0369905495,103.25,37.25,-1.4304740438989325,-1.6560976951682278,-1.6523118011924869
02:11:00,0.027128692,82.75,28.5,-1.6767297671866956,-1.7560987089814688,-1.809935749338135
02:12:00,0.02885648625,90.25,32.0,-1.6335858439728197,-1.719512972220527,-1.7468861700798757
02:13:00,0.031318863,110.25,33.75,-1.5720990127568724,-1.621951007524682,-1.7153613804507462
02:14:00,0.0315073885,93.5,33.5,-1.5673914327334655,-1.703659152957452,-1.719864921826336
02:15:00,0.0293151555,70.75,25.25,-1.6221326336715547,-1.8146358877989759,-1.8684817872208042
02:16:00,0.01837306675,64.25,22.75,-1.8953622944540336,-1.8463435263251256,-1.9135172009767036
02:17:00,0.028593688,91.75,30.25,-1.6401480532860762,-1.7121958248683387,-1.7784109597090054
02:18:00,0.02702318625,100.5,31.5,-1.6793643007699752,-1.6695124653139064,-1.7558932528310556
02:19:00,0.0276024947499999,87.0,32.25,-1.6648986655005318,-1.7353667914836017,-1.7423826287042858
02:20:00,0.0365520762499999,91.5,31.25,-1.441422949550947,-1.7134153494270365,-1.7603967942066456
02:21:00,0.02851076425,94.75,31.25,-1.6422187025561534,-1.697561530163962,-1.7603967942066456
02:22:00,0.02436985625,68.75,23.5,-1.745619334192545,-1.8243920842685604,-1.900006576849934
02:23:00,0.03018653175,88.25,30.0,-1.6003739144140996,-1.7292691686901114,-1.7829145010845953
02:24:00,0.0226525699999999,82.75,24.5,-1.7885008671680422,-1.7560987089814688,-1.8819924113475741
02:25:00,0.026970854,93.75,27.5,-1.6806710643360707,-1.7024396283987542,-1.8279499148404947
02:26:00,0.0227769759999999,79.75,23.75,-1.7853943844885531,-1.7707330036858455,-1.8955030354743438
02:27:00,0.0264846859999999,90.75,31.75,-1.6928109327614045,-1.717073923103131,-1.7513897114554657
02:28:00,0.03117586675,86.5,37.5,-1.575669703670951,-1.737805840600998,-1.647808259816897
02:29:00,0.0289593137499999,111.5,33.5,-1.6310181876883572,-1.6158533847311916,-1.719864921826336
02:30:00,0.02880509375,82.0,30.5,-1.6348691414914733,-1.759757282657563,-1.7739074183334154
02:31:00,0.0178232955,72.5,21.75,-1.909090369191634,-1.8060992158880893,-1.9315313664790634
02:32:00,0.0287432025,101.5,32.5,-1.6364145982711857,-1.6646343670791142,-1.7378790873286958
02:33:00,0.01952614675,81.5,25.25,-1.8665692856918756,-1.7621963317749592,-1.8684817872208042
02:34:00,0.01972339775,83.5,24.5,-1.8616438253843997,-1.7524401353053747,-1.8819924113475741
02:35:00,0.01806760775,101.5,28.75,-1.9029897649361163,-1.6646343670791142,-1.8054322079625449
02:36:00,0.01445151195,65.25,21.5,-1.9932855623258925,-1.8414654280903333,-1.9360349078546533
02:37:00,0.018364342375,98.75,27.0,-1.895580146646266,-1.6780491372247928,-1.8369569975916746
02:38:00,0.020220817,103.0,28.75,-1.849223007380691,-1.6573172197269257,-1.8054322079625449
02:39:00,0.021562419,86.75,23.5,-1.8157225059919508,-1.7365863160422998,-1.900006576849934
02:40:00,0.02336801725,69.75,20.5,-1.7706357763346963,-1.8195139860337681,-1.954049073357013
02:41:00,0.022991561,77.5,21.25,-1.7800360851639352,-1.7817087247141281,-1.9405384492302433
02:42:00,0.0193114285,79.0,24.0,-1.8719309123384618,-1.7743915773619399,-1.890999494098754
02:43:00,0.0196957345,90.0,25.25,-1.8623345911592286,-1.720732496779225,-1.8684817872208042
02:44:00,0.01711011575,86.0,23.25,-1.926898839367809,-1.740244889718394,-1.9045101182255237
02:45:00,0.02982865625,116.0,31.25,-1.6093102522287017,-1.5939019426746266,-1.7603967942066456
02:46:00,0.0286197745,82.25,27.25,-1.639496659780791,-1.758537758098865,-1.8324534562160846
02:47:00,0.020148992,85.25,27.5,-1.8510165150768978,-1.7439034633944883,-1.8279499148404947
02:48:00,0.022349237,112.5,32.75,-1.796075250321725,-1.6109752864963993,-1.733375545953106
02:49:00,0.02618484325,93.75,29.0,-1.7002981625529339,-1.7024396283987542,-1.800928666586955
02:50:00,0.01670517575,100.0,25.75,-1.937010402284648,-1.6719515144313024,-1.8594747044696243
02:51:00,0.0229945664,84.75,25.0,-1.7799610387590599,-1.7463425125118843,-1.8729853285963942
02:52:00,0.0202102192499999,85.5,21.5,-1.8494876387233665,-1.7426839388357902,-1.9360349078546533
02:53:00,0.02604791225,99.5,28.0,-1.7037174010123737,-1.6743905635486986,-1.8189428320893148
02:54:00,0.0232515095,77.75,24.75,-1.7735450355939055,-1.78048920015543,-1.877488869971984
