datetime,currency,revenue,auctions,impressions,weekday
2023-10-06 23:59:00,EUR,0.013641239,221,43,Friday
2023-10-06 23:58:00,EUR,0.011952434,166,31,Friday
2023-10-06 23:57:00,EUR,0.015173021,229,47,Friday
2023-10-06 23:56:00,EUR,0.018667594,157,36,Friday
2023-10-06 23:55:00,EUR,0.017705843,117,29,Friday
2023-10-06 23:54:00,EUR,0.022142982,128,41,Friday
2023-10-06 23:53:00,EUR,0.027550122,187,48,Friday
2023-10-06 23:52:00,EUR,0.018986246,128,27,Friday
2023-10-06 23:51:00,EUR,0.022041706,176,34,Friday
2023-10-06 23:50:00,EUR,0.017307851,127,29,Friday
2023-10-06 23:49:00,EUR,0.028272849,187,49,Friday
2023-10-06 23:48:00,EUR,0.0104183005,129,22,Friday
2023-10-06 23:47:00,EUR,0.011518861,90,23,Friday
2023-10-06 23:46:00,EUR,0.036315195,123,36,Friday
2023-10-06 23:45:00,EUR,0.034067754,221,61,Friday
2023-10-06 23:44:00,EUR,0.015167846,150,34,Friday
2023-10-06 23:43:00,EUR,0.020873703,128,38,Friday
2023-10-06 23:42:00,EUR,0.052508384,219,70,Friday
2023-10-06 23:41:00,EUR,0.040326,208,56,Friday
2023-10-06 23:40:00,EUR,0.027888842,203,60,Friday
2023-10-06 23:39:00,EUR,0.022651779,190,61,Friday
2023-10-06 23:38:00,EUR,0.018650109,164,43,Friday
2023-10-06 23:37:00,EUR,0.02434963,159,54,Friday
2023-10-06 23:36:00,EUR,0.023717336,200,53,Friday
2023-10-06 23:35:00,EUR,0.018414283,128,44,Friday
2023-10-06 23:34:00,EUR,0.021631729,197,40,Friday
2023-10-06 23:33:00,EUR,0.028079176,188,60,Friday
2023-10-06 23:32:00,EUR,0.018745432,142,39,Friday
2023-10-06 23:31:00,EUR,0.02608397,104,29,Friday
2023-10-06 23:30:00,EUR,0.027669102,185,47,Friday
2023-10-06 23:29:00,EUR,0.017013816,145,37,Friday
2023-10-06 23:28:00,EUR,0.01626592,120,24,Friday
2023-10-06 23:27:00,EUR,0.037207015,150,43,Friday
2023-10-06 23:26:00,EUR,0.018156007,132,32,Friday
2023-10-06 23:25:00,EUR,0.0231459,185,43,Friday
2023-10-06 23:24:00,EUR,0.04986327,236,77,Friday
2023-10-06 23:23:00,EUR,0.025452703,148,37,Friday
2023-10-06 23:22:00,EUR,0.030175209,185,49,Friday
2023-10-06 23:21:00,EUR,0.041706003,186,51,Friday
2023-10-06 23:20:00,EUR,0.03125467,200,55,Friday
2023-10-06 23:19:00,EUR,0.017996943,141,23,Friday
2023-10-06 23:18:00,EUR,0.029046549,202,41,Friday
2023-10-06 23:17:00,EUR,0.022919416,174,36,Friday
2023-10-06 23:16:00,EUR,0.01574127,182,33,Friday
2023-10-06 23:15:00,EUR,0.017614242,170,37,Friday
2023-10-06 23:14:00,EUR,0.028131574,180,40,Friday
2023-10-06 23:13:00,EUR,0.07557345,220,58,Friday
2023-10-06 23:12:00,EUR,0.020203747,214,45,Friday
2023-10-06 23:11:00,EUR,0.03659609,229,67,Friday
2023-10-06 23:10:00,EUR,0.061232053,260,82,Friday
2023-10-06 23:09:00,EUR,0.040471837,195,61,Friday
2023-10-06 23:08:00,EUR,0.027131537,153,46,Friday
2023-10-06 23:07:00,EUR,0.033750717,235,54,Friday
2023-10-06 23:06:00,EUR,0.06533661,220,62,Friday
2023-10-06 23:05:00,EUR,0.024109056,163,36,Friday
2023-10-06 23:04:00,EUR,0.057496578,202,59,Friday
2023-10-06 23:03:00,EUR,0.031082535,226,57,Friday
2023-10-06 23:02:00,EUR,0.037881628,209,58,Friday
2023-10-06 23:01:00,EUR,0.03537638,189,63,Friday
2023-10-06 23:00:00,EUR,0.026723433,165,52,Friday
2023-10-06 22:59:00,EUR,0.02521741,213,48,Friday
2023-10-06 22:58:00,EUR,0.024590079,224,51,Friday
2023-10-06 22:57:00,EUR,0.03580875,285,64,Friday
2023-10-06 22:56:00,EUR,0.052037094,331,88,Friday
2023-10-06 22:55:00,EUR,0.021274643,232,45,Friday
2023-10-06 22:54:00,EUR,0.032107286,214,53,Friday
2023-10-06 22:53:00,EUR,0.033824187,210,52,Friday
2023-10-06 22:52:00,EUR,0.041368313,213,62,Friday
2023-10-06 22:51:00,EUR,0.039085314,323,75,Friday
2023-10-06 22:50:00,EUR,0.04398667,273,71,Friday
2023-10-06 22:49:00,EUR,0.05628352,243,71,Friday
2023-10-06 22:48:00,EUR,0.058915563,279,82,Friday
2023-10-06 22:47:00,EUR,0.027749958,193,51,Friday
2023-10-06 22:46:00,EUR,0.020469127,199,38,Friday
2023-10-06 22:45:00,EUR,0.024640374,221,39,Friday
2023-10-06 22:44:00,EUR,0.044509657,262,80,Friday
2023-10-06 22:43:00,EUR,0.03146502,231,65,Friday
2023-10-06 22:42:00,EUR,0.033970088,216,54,Friday
2023-10-06 22:41:00,EUR,0.03643327,366,74,Friday
2023-10-06 22:40:00,EUR,0.038092732,301,63,Friday
2023-10-06 22:39:00,EUR,0.04807605,290,76,Friday
2023-10-06 22:38:00,EUR,0.0693259,313,100,Friday
2023-10-06 22:37:00,EUR,0.033956494,210,64,Friday
2023-10-06 22:36:00,EUR,0.03905537,337,89,Friday
2023-10-06 22:35:00,EUR,0.045043178,362,79,Friday
2023-10-06 22:34:00,EUR,0.06555591,387,105,Friday
2023-10-06 22:33:00,EUR,0.058202896,443,97,Friday
2023-10-06 22:32:00,EUR,0.06360886,446,109,Friday
2023-10-06 22:31:00,EUR,0.04630315,369,89,Friday
2023-10-06 22:30:00,EUR,0.05697243,434,96,Friday
2023-10-06 22:29:00,EUR,0.041481115,328,79,Friday
2023-10-06 22:28:00,EUR,0.0458366,363,86,Friday
2023-10-06 22:27:00,EUR,0.06290671,451,96,Friday
2023-10-06 22:26:00,EUR,0.042731307,366,67,Friday
2023-10-06 22:25:00,EUR,0.02984044,336,61,Friday
2023-10-06 22:24:00,EUR,0.040421423,291,71,Friday
2023-10-06 22:23:00,EUR,0.038979854,359,71,Friday
2023-10-06 22:22:00,EUR,0.03537552,354,56,Friday
2023-10-06 22:21:00,EUR,0.032157943,322,56,Friday
2023-10-06 22:20:00,EUR,0.065206155,370,101,Friday
2023-10-06 22:19:00,EUR,0.07893438,373,106,Friday
2023-10-06 22:18:00,EUR,0.034348525,375,68,Friday
2023-10-06 22:17:00,EUR,0.0321971,342,65,Friday
2023-10-06 22:16:00,EUR,0.060540624,428,74,Friday
2023-10-06 22:15:00,EUR,0.092716776,504,114,Friday
2023-10-06 22:14:00,EUR,0.082929164,509,110,Friday
2023-10-06 22:13:00,EUR,0.06503595,341,81,Friday
2023-10-06 22:12:00,EUR,0.0668669,494,84,Friday
2023-10-06 22:11:00,EUR,0.06791156,460,93,Friday
2023-10-06 22:10:00,EUR,0.09136124,458,115,Friday
2023-10-06 22:09:00,EUR,0.08502056,447,116,Friday
2023-10-06 22:08:00,EUR,0.0780257,431,83,Friday
2023-10-06 22:07:00,EUR,0.06907674,377,78,Friday
2023-10-06 22:06:00,EUR,0.09257355,477,116,Friday
2023-10-06 22:05:00,EUR,0.07039141,404,86,Friday
2023-10-06 22:04:00,EUR,0.054057576,342,67,Friday
2023-10-06 22:03:00,EUR,0.06516681,349,82,Friday
2023-10-06 22:02:00,EUR,0.05578218,311,67,Friday
2023-10-06 22:01:00,EUR,0.078632526,380,86,Friday
2023-10-06 22:00:00,EUR,0.059573285,346,97,Friday
2023-10-06 21:59:00,EUR,0.027888786,397,83,Friday
2023-10-06 21:58:00,EUR,0.021115458,366,70,Friday
2023-10-06 21:57:00,EUR,0.020563547,431,70,Friday
2023-10-06 21:56:00,EUR,0.023942504,358,62,Friday
2023-10-06 21:55:00,EUR,0.03903163,471,111,Friday
2023-10-06 21:54:00,EUR,0.07164676,713,141,Friday
2023-10-06 21:53:00,EUR,0.031661175,595,102,Friday
2023-10-06 21:52:00,EUR,0.030612288,497,98,Friday
2023-10-06 21:51:00,EUR,0.033612918,493,89,Friday
2023-10-06 21:50:00,EUR,0.044078894,632,128,Friday
2023-10-06 21:49:00,EUR,0.034633104,626,137,Friday
2023-10-06 21:48:00,EUR,0.056404654,587,117,Friday
2023-10-06 21:47:00,EUR,0.045193426,712,121,Friday
2023-10-06 21:46:00,EUR,0.06387576,805,157,Friday
2023-10-06 21:45:00,EUR,0.06868051,701,142,Friday
2023-10-06 21:44:00,EUR,0.09995914,820,203,Friday
2023-10-06 21:43:00,EUR,0.05352049,636,139,Friday
2023-10-06 21:42:00,EUR,0.032654062,519,111,Friday
2023-10-06 21:41:00,EUR,0.0397195,473,101,Friday
2023-10-06 21:40:00,EUR,0.05438992,473,117,Friday
2023-10-06 21:39:00,EUR,0.04218544,408,94,Friday
2023-10-06 21:38:00,EUR,0.036090843,450,93,Friday
2023-10-06 21:37:00,EUR,0.044600964,495,151,Friday
2023-10-06 21:36:00,EUR,0.028451797,411,86,Friday
2023-10-06 21:35:00,EUR,0.03649859,452,98,Friday
2023-10-06 21:34:00,EUR,0.04459969,487,128,Friday
2023-10-06 21:33:00,EUR,0.045328863,525,148,Friday
2023-10-06 21:32:00,EUR,0.037233803,394,73,Friday
2023-10-06 21:31:00,EUR,0.025951507,403,61,Friday
2023-10-06 21:30:00,EUR,0.03893964,404,84,Friday
2023-10-06 21:29:00,EUR,0.032943144,396,106,Friday
2023-10-06 21:28:00,EUR,0.046111386,418,113,Friday
2023-10-06 21:27:00,EUR,0.04750538,443,125,Friday
2023-10-06 21:26:00,EUR,0.032915283,335,93,Friday
2023-10-06 21:25:00,EUR,0.036816023,389,84,Friday
2023-10-06 21:24:00,EUR,0.01829959,299,59,Friday
2023-10-06 21:23:00,EUR,0.013044937,290,57,Friday
2023-10-06 21:22:00,EUR,0.036522508,421,99,Friday
2023-10-06 21:21:00,EUR,0.054608997,489,107,Friday
2023-10-06 21:20:00,EUR,0.030930249,398,93,Friday
2023-10-06 21:19:00,EUR,0.02283256,355,89,Friday
