datetime,currency,revenue,auctions,impressions,weekday
2023-10-09 23:59:00,EUR,0.0118689155,90,22,Monday
2023-10-09 23:58:00,EUR,0.02559828,116,26,Monday
2023-10-09 23:57:00,EUR,0.044324927,130,53,Monday
2023-10-09 23:56:00,EUR,0.03387883,185,46,Monday
2023-10-09 23:55:00,EUR,0.02510024,154,30,Monday
2023-10-09 23:54:00,EUR,0.019514594,108,32,Monday
2023-10-09 23:53:00,EUR,0.030215004,161,49,Monday
2023-10-09 23:52:00,EUR,0.018173037,171,53,Monday
2023-10-09 23:51:00,EUR,0.007861345,132,24,Monday
2023-10-09 23:50:00,EUR,0.019332994,100,25,Monday
2023-10-09 23:49:00,EUR,0.01456275,107,22,Monday
2023-10-09 23:48:00,EUR,0.026224948,193,40,Monday
2023-10-09 23:47:00,EUR,0.022830665,146,34,Monday
2023-10-09 23:46:00,EUR,0.019054642,146,33,Monday
2023-10-09 23:45:00,EUR,0.020583611,160,45,Monday
2023-10-09 23:44:00,EUR,0.02325186,127,30,Monday
2023-10-09 23:43:00,EUR,0.025621092,189,30,Monday
2023-10-09 23:42:00,EUR,0.03257511,166,40,Monday
2023-10-09 23:41:00,EUR,0.0137796635,145,24,Monday
2023-10-09 23:40:00,EUR,0.014046413,126,24,Monday
2023-10-09 23:39:00,EUR,0.013342292,74,17,Monday
2023-10-09 23:38:00,EUR,0.029525904,126,31,Monday
2023-10-09 23:37:00,EUR,0.022022365,151,35,Monday
2023-10-09 23:36:00,EUR,0.017561777,161,26,Monday
2023-10-09 23:35:00,EUR,0.012875725,106,20,Monday
2023-10-09 23:34:00,EUR,0.030141274,157,29,Monday
2023-10-09 23:33:00,EUR,0.020014253,146,24,Monday
2023-10-09 23:32:00,EUR,0.027079076,140,37,Monday
2023-10-09 23:31:00,EUR,0.024360836,193,40,Monday
2023-10-09 23:30:00,EUR,0.01770767,151,26,Monday
2023-10-09 23:29:00,EUR,0.015476599,158,28,Monday
2023-10-09 23:28:00,EUR,0.022257917,198,34,Monday
2023-10-09 23:27:00,EUR,0.015839754,131,24,Monday
2023-10-09 23:26:00,EUR,0.022268072,175,43,Monday
2023-10-09 23:25:00,EUR,0.031667,247,45,Monday
2023-10-09 23:24:00,EUR,0.019723574,243,27,Monday
2023-10-09 23:23:00,EUR,0.039380677,222,47,Monday
2023-10-09 23:22:00,EUR,0.019707594,206,32,Monday
2023-10-09 23:21:00,EUR,0.02340944,178,31,Monday
2023-10-09 23:20:00,EUR,0.026596883,148,33,Monday
2023-10-09 23:19:00,EUR,0.030026354,205,41,Monday
2023-10-09 23:18:00,EUR,0.030191425,164,39,Monday
2023-10-09 23:17:00,EUR,0.022220733,122,28,Monday
2023-10-09 23:16:00,EUR,0.05158422,235,66,Monday
2023-10-09 23:15:00,EUR,0.024444316,228,37,Monday
2023-10-09 23:14:00,EUR,0.033582527,296,48,Monday
2023-10-09 23:13:00,EUR,0.041628633,250,62,Monday
2023-10-09 23:12:00,EUR,0.03628243,239,53,Monday
2023-10-09 23:11:00,EUR,0.03525683,198,51,Monday
2023-10-09 23:10:00,EUR,0.032073334,243,50,Monday
2023-10-09 23:09:00,EUR,0.036485244,261,56,Monday
2023-10-09 23:08:00,EUR,0.03722416,223,56,Monday
2023-10-09 23:07:00,EUR,0.01784422,175,31,Monday
2023-10-09 23:06:00,EUR,0.027153747,229,49,Monday
2023-10-09 23:05:00,EUR,0.03165875,196,42,Monday
2023-10-09 23:04:00,EUR,0.024499042,154,28,Monday
2023-10-09 23:03:00,EUR,0.018763585,193,34,Monday
2023-10-09 23:02:00,EUR,0.02340527,178,37,Monday
2023-10-09 23:01:00,EUR,0.032154597,158,35,Monday
2023-10-09 23:00:00,EUR,0.023864912,168,38,Monday
2023-10-09 22:59:00,EUR,0.019739127,179,35,Monday
2023-10-09 22:58:00,EUR,0.03396985,204,40,Monday
2023-10-09 22:57:00,EUR,0.042153735,220,48,Monday
2023-10-09 22:56:00,EUR,0.021585682,283,43,Monday
2023-10-09 22:55:00,EUR,0.033316765,287,53,Monday
2023-10-09 22:54:00,EUR,0.050243847,352,72,Monday
2023-10-09 22:53:00,EUR,0.039596125,288,57,Monday
2023-10-09 22:52:00,EUR,0.043717984,363,64,Monday
