datetime,currency,revenue,auctions,impressions,weekday
2023-10-05 23:59:00,EUR,0.0074241697,111,21,Thursday
2023-10-05 23:58:00,EUR,0.017920222,86,19,Thursday
2023-10-05 23:57:00,EUR,0.008639356,47,17,Thursday
2023-10-05 23:56:00,EUR,0.009400754,93,19,Thursday
2023-10-05 23:55:00,EUR,0.013998991,154,25,Thursday
2023-10-05 23:54:00,EUR,0.01357843,101,25,Thursday
2023-10-05 23:53:00,EUR,0.016763095,135,32,Thursday
2023-10-05 23:52:00,EUR,0.01053895,115,24,Thursday
2023-10-05 23:51:00,EUR,0.011104383,87,22,Thursday
2023-10-05 23:50:00,EUR,0.02064666,68,23,Thursday
2023-10-05 23:49:00,EUR,0.00987405,73,14,Thursday
2023-10-05 23:48:00,EUR,0.01440896,100,21,Thursday
2023-10-05 23:47:00,EUR,0.011289708,119,26,Thursday
2023-10-05 23:46:00,EUR,0.0120282285,74,23,Thursday
2023-10-05 23:45:00,EUR,0.015087177,78,20,Thursday
2023-10-05 23:44:00,EUR,0.019014018,71,19,Thursday
2023-10-05 23:43:00,EUR,0.029176917,134,30,Thursday
2023-10-05 23:42:00,EUR,0.031233784,91,24,Thursday
2023-10-05 23:41:00,EUR,0.010867232,110,20,Thursday
2023-10-05 23:40:00,EUR,0.009213145,126,16,Thursday
2023-10-05 23:39:00,EUR,0.009439181,65,19,Thursday
2023-10-05 23:38:00,EUR,0.021723378,73,26,Thursday
2023-10-05 23:37:00,EUR,0.00865709,62,17,Thursday
2023-10-05 23:36:00,EUR,0.015414542,106,22,Thursday
2023-10-05 23:35:00,EUR,0.02012278,106,36,Thursday
2023-10-05 23:34:00,EUR,0.01123186,62,18,Thursday
2023-10-05 23:33:00,EUR,0.021572405,150,42,Thursday
2023-10-05 23:32:00,EUR,0.018413097,132,25,Thursday
2023-10-05 23:31:00,EUR,0.009221149,130,21,Thursday
2023-10-05 23:30:00,EUR,0.018590253,118,20,Thursday
2023-10-05 23:29:00,EUR,0.0101881875,82,21,Thursday
2023-10-05 23:28:00,EUR,0.00981186,79,19,Thursday
2023-10-05 23:27:00,EUR,0.0073081404,63,10,Thursday
2023-10-05 23:26:00,EUR,0.006415433,98,20,Thursday
2023-10-05 23:25:00,EUR,0.004634184,70,11,Thursday
2023-10-05 23:24:00,EUR,0.0076248045,32,9,Thursday
2023-10-05 23:23:00,EUR,0.01698047,130,29,Thursday
2023-10-05 23:22:00,EUR,0.017398266,114,29,Thursday
2023-10-05 23:21:00,EUR,0.012573093,80,25,Thursday
2023-10-05 23:20:00,EUR,0.012210096,68,25,Thursday
2023-10-05 23:19:00,EUR,0.010400385,135,24,Thursday
2023-10-05 23:18:00,EUR,0.03486017,105,32,Thursday
2023-10-05 23:17:00,EUR,0.07911785,156,50,Thursday
2023-10-05 23:16:00,EUR,0.05177618,195,49,Thursday
2023-10-05 23:15:00,EUR,0.02881332,171,36,Thursday
2023-10-05 23:14:00,EUR,0.031526282,203,36,Thursday
2023-10-05 23:13:00,EUR,0.020800713,144,27,Thursday
2023-10-05 23:12:00,EUR,0.02348516,167,37,Thursday
2023-10-05 23:11:00,EUR,0.032301273,196,44,Thursday
2023-10-05 23:10:00,EUR,0.024077725,204,42,Thursday
2023-10-05 23:09:00,EUR,0.02603304,185,37,Thursday
2023-10-05 23:08:00,EUR,0.0077942726,116,20,Thursday
2023-10-05 23:07:00,EUR,0.024651466,155,48,Thursday
2023-10-05 23:06:00,EUR,0.02629596,161,39,Thursday
2023-10-05 23:05:00,EUR,0.020603905,133,36,Thursday
2023-10-05 23:04:00,EUR,0.032634,168,42,Thursday
2023-10-05 23:03:00,EUR,0.017750682,142,31,Thursday
2023-10-05 23:02:00,EUR,0.034359146,144,37,Thursday
2023-10-05 23:01:00,EUR,0.012554564,140,31,Thursday
2023-10-05 23:00:00,EUR,0.029669475,165,44,Thursday
2023-10-05 22:59:00,EUR,0.02826963,156,47,Thursday
2023-10-05 22:58:00,EUR,0.04478244,201,51,Thursday
2023-10-05 22:57:00,EUR,0.025088452,167,45,Thursday
2023-10-05 22:56:00,EUR,0.029380288,180,35,Thursday
2023-10-05 22:55:00,EUR,0.013855678,175,32,Thursday
2023-10-05 22:54:00,EUR,0.02154055,175,33,Thursday
2023-10-05 22:53:00,EUR,0.027118053,236,44,Thursday
2023-10-05 22:52:00,EUR,0.0078847855,164,20,Thursday
2023-10-05 22:51:00,EUR,0.022679865,149,41,Thursday
2023-10-05 22:50:00,EUR,0.012087741,137,23,Thursday
2023-10-05 22:49:00,EUR,0.01923534,185,34,Thursday
2023-10-05 22:48:00,EUR,0.011866811,124,21,Thursday
2023-10-05 22:47:00,EUR,0.03283463,202,37,Thursday
2023-10-05 22:46:00,EUR,0.042568475,171,37,Thursday
2023-10-05 22:45:00,EUR,0.020538,200,37,Thursday
2023-10-05 22:44:00,EUR,0.025793074,185,43,Thursday
2023-10-05 22:43:00,EUR,0.023937238,240,47,Thursday
2023-10-05 22:42:00,EUR,0.031501193,274,67,Thursday
2023-10-05 22:41:00,EUR,0.029817,298,50,Thursday
2023-10-05 22:40:00,EUR,0.03714098,371,60,Thursday
2023-10-05 22:39:00,EUR,0.021384494,312,48,Thursday
2023-10-05 22:38:00,EUR,0.01807104,216,36,Thursday
2023-10-05 22:37:00,EUR,0.035218604,373,69,Thursday
2023-10-05 22:36:00,EUR,0.025382647,257,34,Thursday
2023-10-05 22:35:00,EUR,0.038260132,183,40,Thursday
2023-10-05 22:34:00,EUR,0.0075047067,166,20,Thursday
2023-10-05 22:33:00,EUR,0.030760514,231,49,Thursday
2023-10-05 22:32:00,EUR,0.030351581,235,50,Thursday
2023-10-05 22:31:00,EUR,0.029445807,227,45,Thursday
2023-10-05 22:30:00,EUR,0.021767968,247,38,Thursday
2023-10-05 22:29:00,EUR,0.023666516,194,34,Thursday
2023-10-05 22:28:00,EUR,0.035921134,270,61,Thursday
2023-10-05 22:27:00,EUR,0.02657752,251,44,Thursday
2023-10-05 22:26:00,EUR,0.031983346,282,66,Thursday
2023-10-05 22:25:00,EUR,0.016910639,262,28,Thursday
2023-10-05 22:24:00,EUR,0.0113387145,219,36,Thursday
2023-10-05 22:23:00,EUR,0.030592935,262,41,Thursday
2023-10-05 22:22:00,EUR,0.036916357,307,62,Thursday
2023-10-05 22:21:00,EUR,0.016799709,252,45,Thursday
2023-10-05 22:20:00,EUR,0.021984763,221,39,Thursday
2023-10-05 22:19:00,EUR,0.014558873,281,35,Thursday
2023-10-05 22:18:00,EUR,0.028898202,296,67,Thursday
2023-10-05 22:17:00,EUR,0.011240641,272,34,Thursday
2023-10-05 22:16:00,EUR,0.020760678,314,53,Thursday
2023-10-05 22:15:00,EUR,0.029417308,227,41,Thursday
2023-10-05 22:14:00,EUR,0.027061643,368,65,Thursday
2023-10-05 22:13:00,EUR,0.030558556,276,45,Thursday
2023-10-05 22:12:00,EUR,0.018849362,237,35,Thursday
2023-10-05 22:11:00,EUR,0.038380414,200,31,Thursday
2023-10-05 22:10:00,EUR,0.00447695,176,15,Thursday
2023-10-05 22:09:00,EUR,0.009037538,263,19,Thursday
2023-10-05 22:08:00,EUR,0.030632423,243,27,Thursday
2023-10-05 22:07:00,EUR,0.030341355,197,31,Thursday
2023-10-05 22:06:00,EUR,0.020374216,276,43,Thursday
2023-10-05 22:05:00,EUR,0.03366433,350,61,Thursday
2023-10-05 22:04:00,EUR,0.027968332,273,35,Thursday
2023-10-05 22:03:00,EUR,0.026056604,235,42,Thursday
2023-10-05 22:02:00,EUR,0.015080441,161,26,Thursday
2023-10-05 22:01:00,EUR,0.051171616,213,67,Thursday
2023-10-05 22:00:00,EUR,0.04708764,286,70,Thursday
2023-10-05 21:59:00,EUR,0.043932997,430,85,Thursday
2023-10-05 21:58:00,EUR,0.020710036,369,68,Thursday
2023-10-05 21:57:00,EUR,0.03392842,354,74,Thursday
2023-10-05 21:56:00,EUR,0.04025472,315,81,Thursday
2023-10-05 21:55:00,EUR,0.03728136,318,85,Thursday
2023-10-05 21:54:00,EUR,0.048825577,343,93,Thursday
2023-10-05 21:53:00,EUR,0.020898717,384,74,Thursday
2023-10-05 21:52:00,EUR,0.044102382,445,115,Thursday
2023-10-05 21:51:00,EUR,0.03139431,387,91,Thursday
2023-10-05 21:50:00,EUR,0.05308783,550,148,Thursday
2023-10-05 21:49:00,EUR,0.052466422,357,94,Thursday
2023-10-05 21:48:00,EUR,0.0432474,349,99,Thursday
2023-10-05 21:47:00,EUR,0.027156405,383,95,Thursday
2023-10-05 21:46:00,EUR,0.019298693,429,82,Thursday
2023-10-05 21:45:00,EUR,0.027161945,420,92,Thursday
2023-10-05 21:44:00,EUR,0.034520667,418,98,Thursday
2023-10-05 21:43:00,EUR,0.026723564,357,71,Thursday
2023-10-05 21:42:00,EUR,0.018069796,315,65,Thursday
2023-10-05 21:41:00,EUR,0.04859779,510,153,Thursday
2023-10-05 21:40:00,EUR,0.033948593,400,106,Thursday
2023-10-05 21:39:00,EUR,0.03142155,416,104,Thursday
2023-10-05 21:38:00,EUR,0.037617482,482,121,Thursday
2023-10-05 21:37:00,EUR,0.043704376,478,119,Thursday
2023-10-05 21:36:00,EUR,0.029736696,338,95,Thursday
2023-10-05 21:35:00,EUR,0.02076792,312,87,Thursday
2023-10-05 21:34:00,EUR,0.026957545,395,94,Thursday
2023-10-05 21:33:00,EUR,0.0666444,467,121,Thursday
2023-10-05 21:32:00,EUR,0.039697785,349,79,Thursday
2023-10-05 21:31:00,EUR,0.03888842,376,99,Thursday
2023-10-05 21:30:00,EUR,0.024748629,318,96,Thursday
2023-10-05 21:29:00,EUR,0.021204768,286,74,Thursday
2023-10-05 21:28:00,EUR,0.034255818,405,117,Thursday
2023-10-05 21:27:00,EUR,0.038670328,483,126,Thursday
2023-10-05 21:26:00,EUR,0.033157293,408,104,Thursday
2023-10-05 21:25:00,EUR,0.037657063,374,94,Thursday
2023-10-05 21:24:00,EUR,0.0423014,371,96,Thursday
2023-10-05 21:23:00,EUR,0.05215592,428,118,Thursday
2023-10-05 21:22:00,EUR,0.032550037,327,76,Thursday
2023-10-05 21:21:00,EUR,0.030744739,424,115,Thursday
2023-10-05 21:20:00,EUR,0.049313687,492,134,Thursday
2023-10-05 21:19:00,EUR,0.0845649,607,148,Thursday
2023-10-05 21:18:00,EUR,0.076612,513,141,Thursday
