datetime,currency,revenue,auctions,impressions,weekday
2023-10-10 23:59:00,EUR,0.06084171,110,24,Tuesday
2023-10-10 23:58:00,EUR,0.034737594,101,25,Tuesday
2023-10-10 23:57:00,EUR,0.011251437,39,11,Tuesday
2023-10-10 23:56:00,EUR,0.0033439007,52,6,Tuesday
2023-10-10 23:55:00,EUR,0.013977754,82,16,Tuesday
2023-10-10 23:54:00,EUR,0.021575384,115,33,Tuesday
2023-10-10 23:53:00,EUR,0.039614327,123,34,Tuesday
2023-10-10 23:52:00,EUR,0.02521858,52,19,Tuesday
2023-10-10 23:51:00,EUR,0.02200464,74,24,Tuesday
2023-10-10 23:50:00,EUR,0.026556026,62,19,Tuesday
2023-10-10 23:49:00,EUR,0.007845753,71,20,Tuesday
2023-10-10 23:48:00,EUR,0.01987611,81,23,Tuesday
2023-10-10 23:47:00,EUR,0.046982918,106,46,Tuesday
2023-10-10 23:46:00,EUR,0.01760227,130,19,Tuesday
2023-10-10 23:45:00,EUR,0.016497746,97,18,Tuesday
2023-10-10 23:44:00,EUR,0.034158323,116,43,Tuesday
2023-10-10 23:43:00,EUR,0.02876796,110,24,Tuesday
2023-10-10 23:42:00,EUR,0.003764446,92,13,Tuesday
2023-10-10 23:41:00,EUR,0.016346226,69,10,Tuesday
2023-10-10 23:40:00,EUR,0.021974726,110,29,Tuesday
2023-10-10 23:39:00,EUR,0.018204777,113,30,Tuesday
2023-10-10 23:38:00,EUR,0.027529005,104,37,Tuesday
2023-10-10 23:37:00,EUR,0.022899825,57,26,Tuesday
2023-10-10 23:36:00,EUR,0.019725394,75,22,Tuesday
2023-10-10 23:35:00,EUR,0.031604238,118,35,Tuesday
2023-10-10 23:34:00,EUR,0.022999015,155,34,Tuesday
2023-10-10 23:33:00,EUR,0.03259833,212,39,Tuesday
2023-10-10 23:32:00,EUR,0.022194745,190,34,Tuesday
2023-10-10 23:31:00,EUR,0.014948828,118,22,Tuesday
2023-10-10 23:30:00,EUR,0.0235916,145,37,Tuesday
2023-10-10 23:29:00,EUR,0.042296253,140,49,Tuesday
2023-10-10 23:28:00,EUR,0.028464418,101,34,Tuesday
2023-10-10 23:27:00,EUR,0.040457245,146,38,Tuesday
2023-10-10 23:26:00,EUR,0.05683511,127,34,Tuesday
2023-10-10 23:25:00,EUR,0.070409216,129,44,Tuesday
2023-10-10 23:24:00,EUR,0.042029236,139,49,Tuesday
2023-10-10 23:23:00,EUR,0.025716534,142,35,Tuesday
2023-10-10 23:22:00,EUR,0.043046802,182,47,Tuesday
2023-10-10 23:21:00,EUR,0.02779094,141,47,Tuesday
2023-10-10 23:20:00,EUR,0.032124467,160,45,Tuesday
2023-10-10 23:19:00,EUR,0.047617625,174,60,Tuesday
2023-10-10 23:18:00,EUR,0.03254156,184,57,Tuesday
2023-10-10 23:17:00,EUR,0.023583606,153,47,Tuesday
2023-10-10 23:16:00,EUR,0.009279755,89,17,Tuesday
2023-10-10 23:15:00,EUR,0.029044665,101,37,Tuesday
2023-10-10 23:14:00,EUR,0.013708625,127,35,Tuesday
2023-10-10 23:13:00,EUR,0.012609138,132,21,Tuesday
2023-10-10 23:12:00,EUR,0.020098606,128,29,Tuesday
2023-10-10 23:11:00,EUR,0.037862748,119,44,Tuesday
2023-10-10 23:10:00,EUR,0.02631454,141,34,Tuesday
2023-10-10 23:09:00,EUR,0.015389679,101,27,Tuesday
2023-10-10 23:08:00,EUR,0.026965115,138,48,Tuesday
2023-10-10 23:07:00,EUR,0.033429123,165,51,Tuesday
2023-10-10 23:06:00,EUR,0.01758829,95,24,Tuesday
2023-10-10 23:05:00,EUR,0.018738864,120,34,Tuesday
2023-10-10 23:04:00,EUR,0.012149335,106,34,Tuesday
2023-10-10 23:03:00,EUR,0.035162974,145,67,Tuesday
2023-10-10 23:02:00,EUR,0.01294921,62,29,Tuesday
2023-10-10 23:01:00,EUR,0.020318288,97,32,Tuesday
2023-10-10 23:00:00,EUR,0.027138315,131,39,Tuesday
2023-10-10 22:59:00,EUR,0.073538914,164,51,Tuesday
2023-10-10 22:58:00,EUR,0.05171696,116,32,Tuesday
2023-10-10 22:57:00,EUR,0.057105992,175,49,Tuesday
2023-10-10 22:56:00,EUR,0.037949122,153,55,Tuesday
2023-10-10 22:55:00,EUR,0.05773845,184,71,Tuesday
2023-10-10 22:54:00,EUR,0.01959228,121,29,Tuesday
2023-10-10 22:53:00,EUR,0.04451947,228,64,Tuesday
2023-10-10 22:52:00,EUR,0.01644678,146,32,Tuesday
2023-10-10 22:51:00,EUR,0.023047272,210,31,Tuesday
2023-10-10 22:50:00,EUR,0.034609184,174,48,Tuesday
2023-10-10 22:49:00,EUR,0.032083068,243,47,Tuesday
2023-10-10 22:48:00,EUR,0.02534845,202,48,Tuesday
2023-10-10 22:47:00,EUR,0.04081084,137,39,Tuesday
2023-10-10 22:46:00,EUR,0.044004515,207,67,Tuesday
2023-10-10 22:45:00,EUR,0.034563877,151,49,Tuesday
2023-10-10 22:44:00,EUR,0.03511025,155,39,Tuesday
2023-10-10 22:43:00,EUR,0.045935776,225,64,Tuesday
2023-10-10 22:42:00,EUR,0.032457612,249,63,Tuesday
2023-10-10 22:41:00,EUR,0.046301655,287,79,Tuesday
2023-10-10 22:40:00,EUR,0.047215726,232,87,Tuesday
2023-10-10 22:39:00,EUR,0.03570542,221,69,Tuesday
2023-10-10 22:38:00,EUR,0.029530577,162,51,Tuesday
2023-10-10 22:37:00,EUR,0.032706596,199,47,Tuesday
2023-10-10 22:36:00,EUR,0.04434188,257,69,Tuesday
2023-10-10 22:35:00,EUR,0.023034701,219,43,Tuesday
2023-10-10 22:34:00,EUR,0.044796057,206,60,Tuesday
2023-10-10 22:33:00,EUR,0.040287744,149,48,Tuesday
2023-10-10 22:32:00,EUR,0.015789172,196,35,Tuesday
2023-10-10 22:31:00,EUR,0.035292696,227,60,Tuesday
2023-10-10 22:30:00,EUR,0.04176844,214,49,Tuesday
2023-10-10 22:29:00,EUR,0.018120838,226,47,Tuesday
2023-10-10 22:28:00,EUR,0.026553102,274,49,Tuesday
2023-10-10 22:27:00,EUR,0.030104795,282,50,Tuesday
2023-10-10 22:26:00,EUR,0.03173232,188,39,Tuesday
2023-10-10 22:25:00,EUR,0.03191974,262,56,Tuesday
2023-10-10 22:24:00,EUR,0.03692665,258,55,Tuesday
2023-10-10 22:23:00,EUR,0.019546995,248,44,Tuesday
2023-10-10 22:22:00,EUR,0.04346155,306,67,Tuesday
2023-10-10 22:21:00,EUR,0.035219036,310,59,Tuesday
2023-10-10 22:20:00,EUR,0.046912964,253,56,Tuesday
2023-10-10 22:19:00,EUR,0.023835113,258,44,Tuesday
2023-10-10 22:18:00,EUR,0.04467536,268,50,Tuesday
2023-10-10 22:17:00,EUR,0.06584566,344,73,Tuesday
2023-10-10 22:16:00,EUR,0.04526824,265,47,Tuesday
2023-10-10 22:15:00,EUR,0.018390533,227,36,Tuesday
2023-10-10 22:14:00,EUR,0.04996366,303,70,Tuesday
2023-10-10 22:13:00,EUR,0.034673683,353,63,Tuesday
2023-10-10 22:12:00,EUR,0.017108727,225,31,Tuesday
2023-10-10 22:11:00,EUR,0.014001282,208,30,Tuesday
