datetime,currency,revenue,auctions,impressions,weekday
2023-10-04 23:59:00,EUR,0.016552608,116,35,Wednesday
2023-10-04 23:58:00,EUR,0.024417745,62,19,Wednesday
2023-10-04 23:57:00,EUR,0.015643613,87,13,Wednesday
2023-10-04 23:56:00,EUR,0.0019585,68,4,Wednesday
2023-10-04 23:55:00,EUR,0.0041982923,67,11,Wednesday
2023-10-04 23:54:00,EUR,0.014750916,67,15,Wednesday
2023-10-04 23:53:00,EUR,0.01469867,94,18,Wednesday
2023-10-04 23:52:00,EUR,0.022279004,94,27,Wednesday
2023-10-04 23:51:00,EUR,0.007382092,44,14,Wednesday
2023-10-04 23:50:00,EUR,0.015178624,108,31,Wednesday
2023-10-04 23:49:00,EUR,0.003518372,38,9,Wednesday
2023-10-04 23:48:00,EUR,0.007967072,77,17,Wednesday
2023-10-04 23:47:00,EUR,0.015116666,86,26,Wednesday
2023-10-04 23:46:00,EUR,0.02345571,120,35,Wednesday
2023-10-04 23:45:00,EUR,0.007491178,87,17,Wednesday
2023-10-04 23:44:00,EUR,0.000419,35,1,Wednesday
2023-10-04 23:43:00,EUR,0.017297514,60,20,Wednesday
2023-10-04 23:42:00,EUR,0.017396778,89,28,Wednesday
2023-10-04 23:41:00,EUR,0.009696023,86,23,Wednesday
2023-10-04 23:40:00,EUR,0.016949687,97,21,Wednesday
2023-10-04 23:39:00,EUR,0.00991496,75,18,Wednesday
2023-10-04 23:38:00,EUR,0.009166594,68,17,Wednesday
2023-10-04 23:37:00,EUR,0.023775144,134,32,Wednesday
2023-10-04 23:36:00,EUR,0.027037947,143,42,Wednesday
2023-10-04 23:35:00,EUR,0.018242562,106,24,Wednesday
2023-10-04 23:34:00,EUR,0.013932625,131,27,Wednesday
2023-10-04 23:33:00,EUR,0.009415487,67,17,Wednesday
2023-10-04 23:32:00,EUR,0.008836004,90,14,Wednesday
2023-10-04 23:31:00,EUR,0.023988247,126,32,Wednesday
2023-10-04 23:30:00,EUR,0.025516052,143,41,Wednesday
2023-10-04 23:29:00,EUR,0.03435886,165,50,Wednesday
2023-10-04 23:28:00,EUR,0.04501866,172,64,Wednesday
2023-10-04 23:27:00,EUR,0.025721798,108,37,Wednesday
2023-10-04 23:26:00,EUR,0.02255137,74,32,Wednesday
2023-10-04 23:25:00,EUR,0.019630367,120,24,Wednesday
2023-10-04 23:24:00,EUR,0.023846254,94,31,Wednesday
2023-10-04 23:23:00,EUR,0.03752079,154,51,Wednesday
2023-10-04 23:22:00,EUR,0.033692405,166,51,Wednesday
2023-10-04 23:21:00,EUR,0.017701007,142,34,Wednesday
2023-10-04 23:20:00,EUR,0.04173571,118,42,Wednesday
2023-10-04 23:19:00,EUR,0.01024527,73,16,Wednesday
2023-10-04 23:18:00,EUR,0.029246476,102,41,Wednesday
2023-10-04 23:17:00,EUR,0.03504226,137,54,Wednesday
2023-10-04 23:16:00,EUR,0.024317296,144,39,Wednesday
2023-10-04 23:15:00,EUR,0.031177979,155,49,Wednesday
2023-10-04 23:14:00,EUR,0.036600143,126,46,Wednesday
2023-10-04 23:13:00,EUR,0.03359738,203,54,Wednesday
2023-10-04 23:12:00,EUR,0.03616681,159,48,Wednesday
2023-10-04 23:11:00,EUR,0.03631638,154,51,Wednesday
2023-10-04 23:10:00,EUR,0.032175243,159,49,Wednesday
2023-10-04 23:09:00,EUR,0.045228038,174,48,Wednesday
2023-10-04 23:08:00,EUR,0.07669777,190,68,Wednesday
2023-10-04 23:07:00,EUR,0.07209206,301,81,Wednesday
2023-10-04 23:06:00,EUR,0.053714868,158,63,Wednesday
2023-10-04 23:05:00,EUR,0.034656145,143,45,Wednesday
2023-10-04 23:04:00,EUR,0.023417886,140,39,Wednesday
2023-10-04 23:03:00,EUR,0.058774766,254,88,Wednesday
2023-10-04 23:02:00,EUR,0.029539933,192,49,Wednesday
2023-10-04 23:01:00,EUR,0.031108744,193,48,Wednesday
2023-10-04 23:00:00,EUR,0.06416937,181,66,Wednesday
2023-10-04 22:59:00,EUR,0.05485301,145,70,Wednesday
2023-10-04 22:58:00,EUR,0.051358324,181,71,Wednesday
2023-10-04 22:57:00,EUR,0.042640325,217,60,Wednesday
2023-10-04 22:56:00,EUR,0.033448573,203,44,Wednesday
2023-10-04 22:55:00,EUR,0.057827253,205,71,Wednesday
2023-10-04 22:54:00,EUR,0.027920034,156,43,Wednesday
2023-10-04 22:53:00,EUR,0.039743282,200,63,Wednesday
2023-10-04 22:52:00,EUR,0.029088603,170,45,Wednesday
2023-10-04 22:51:00,EUR,0.04918119,300,69,Wednesday
2023-10-04 22:50:00,EUR,0.032699678,224,52,Wednesday
2023-10-04 22:49:00,EUR,0.033426564,193,59,Wednesday
2023-10-04 22:48:00,EUR,0.025771523,145,41,Wednesday
2023-10-04 22:47:00,EUR,0.027905168,150,37,Wednesday
2023-10-04 22:46:00,EUR,0.028472343,190,52,Wednesday
2023-10-04 22:45:00,EUR,0.016493998,128,32,Wednesday
2023-10-04 22:44:00,EUR,0.019513454,141,44,Wednesday
2023-10-04 22:43:00,EUR,0.0058372812,130,19,Wednesday
2023-10-04 22:42:00,EUR,0.00948929,136,30,Wednesday
2023-10-04 22:41:00,EUR,0.030610017,251,54,Wednesday
2023-10-04 22:40:00,EUR,0.021554846,218,49,Wednesday
2023-10-04 22:39:00,EUR,0.025899183,270,63,Wednesday
2023-10-04 22:38:00,EUR,0.02148969,189,45,Wednesday
2023-10-04 22:37:00,EUR,0.024630975,253,58,Wednesday
2023-10-04 22:36:00,EUR,0.027759306,244,65,Wednesday
2023-10-04 22:35:00,EUR,0.017821249,204,41,Wednesday
2023-10-04 22:34:00,EUR,0.033285577,216,58,Wednesday
2023-10-04 22:33:00,EUR,0.039574284,259,58,Wednesday
2023-10-04 22:32:00,EUR,0.025793364,312,44,Wednesday
2023-10-04 22:31:00,EUR,0.033209193,254,51,Wednesday
2023-10-04 22:30:00,EUR,0.03423608,255,49,Wednesday
2023-10-04 22:29:00,EUR,0.026105894,197,37,Wednesday
2023-10-04 22:28:00,EUR,0.03827622,353,67,Wednesday
2023-10-04 22:27:00,EUR,0.050393127,366,76,Wednesday
2023-10-04 22:26:00,EUR,0.041855674,401,84,Wednesday
2023-10-04 22:25:00,EUR,0.03085897,389,72,Wednesday
2023-10-04 22:24:00,EUR,0.029534014,342,62,Wednesday
2023-10-04 22:23:00,EUR,0.018477034,291,41,Wednesday
2023-10-04 22:22:00,EUR,0.032446045,265,62,Wednesday
2023-10-04 22:21:00,EUR,0.022020636,280,54,Wednesday
2023-10-04 22:20:00,EUR,0.01669491,276,43,Wednesday
2023-10-04 22:19:00,EUR,0.015259893,315,42,Wednesday
2023-10-04 22:18:00,EUR,0.028475804,228,39,Wednesday
2023-10-04 22:17:00,EUR,0.0326092,336,67,Wednesday
2023-10-04 22:16:00,EUR,0.031765517,391,83,Wednesday
2023-10-04 22:15:00,EUR,0.0217874,395,79,Wednesday
2023-10-04 22:14:00,EUR,0.02808715,357,69,Wednesday
2023-10-04 22:13:00,EUR,0.022854922,335,61,Wednesday
2023-10-04 22:12:00,EUR,0.03382086,385,67,Wednesday
2023-10-04 22:11:00,EUR,0.055028673,345,86,Wednesday
2023-10-04 22:10:00,EUR,0.03839948,282,66,Wednesday
2023-10-04 22:09:00,EUR,0.03710195,413,85,Wednesday
2023-10-04 22:08:00,EUR,0.043461315,426,77,Wednesday
2023-10-04 22:07:00,EUR,0.04226892,413,83,Wednesday
2023-10-04 22:06:00,EUR,0.04213403,438,89,Wednesday
2023-10-04 22:05:00,EUR,0.03355964,358,68,Wednesday
2023-10-04 22:04:00,EUR,0.034293905,386,54,Wednesday
2023-10-04 22:03:00,EUR,0.042240474,442,89,Wednesday
2023-10-04 22:02:00,EUR,0.040418595,459,107,Wednesday
2023-10-04 22:01:00,EUR,0.1746717,331,108,Wednesday
2023-10-04 22:00:00,EUR,0.05545127,378,105,Wednesday
2023-10-04 21:59:00,EUR,0.02318131,418,76,Wednesday
2023-10-04 21:58:00,EUR,0.045219585,519,118,Wednesday
2023-10-04 21:57:00,EUR,0.032622717,436,78,Wednesday
2023-10-04 21:56:00,EUR,0.022948036,457,88,Wednesday
2023-10-04 21:55:00,EUR,0.047969192,424,94,Wednesday
2023-10-04 21:54:00,EUR,0.034620713,423,98,Wednesday
2023-10-04 21:53:00,EUR,0.03473102,442,113,Wednesday
2023-10-04 21:52:00,EUR,0.039303973,536,148,Wednesday
2023-10-04 21:51:00,EUR,0.048046295,494,123,Wednesday
2023-10-04 21:50:00,EUR,0.04677563,423,102,Wednesday
2023-10-04 21:49:00,EUR,0.023460366,396,84,Wednesday
2023-10-04 21:48:00,EUR,0.039627343,534,116,Wednesday
2023-10-04 21:47:00,EUR,0.03483142,541,120,Wednesday
2023-10-04 21:46:00,EUR,0.05012532,461,126,Wednesday
2023-10-04 21:45:00,EUR,0.025639994,391,101,Wednesday
2023-10-04 21:44:00,EUR,0.060991257,385,96,Wednesday
2023-10-04 21:43:00,EUR,0.07733753,485,110,Wednesday
2023-10-04 21:42:00,EUR,0.057524014,487,104,Wednesday
2023-10-04 21:41:00,EUR,0.031877853,516,115,Wednesday
2023-10-04 21:40:00,EUR,0.03222641,508,106,Wednesday
2023-10-04 21:39:00,EUR,0.046016883,535,145,Wednesday
2023-10-04 21:38:00,EUR,0.03989744,425,120,Wednesday
2023-10-04 21:37:00,EUR,0.051715117,424,111,Wednesday
2023-10-04 21:36:00,EUR,0.05751356,396,108,Wednesday
2023-10-04 21:35:00,EUR,0.06318424,560,136,Wednesday
2023-10-04 21:34:00,EUR,0.047873594,509,141,Wednesday
2023-10-04 21:33:00,EUR,0.04921064,570,137,Wednesday
2023-10-04 21:32:00,EUR,0.051281333,519,119,Wednesday
2023-10-04 21:31:00,EUR,0.05027494,521,118,Wednesday
2023-10-04 21:30:00,EUR,0.04555499,466,144,Wednesday
2023-10-04 21:29:00,EUR,0.044668537,472,126,Wednesday
2023-10-04 21:28:00,EUR,0.037004247,449,114,Wednesday
2023-10-04 21:27:00,EUR,0.03441134,403,95,Wednesday
2023-10-04 21:26:00,EUR,0.05553682,357,121,Wednesday
2023-10-04 21:25:00,EUR,0.04048192,417,94,Wednesday
2023-10-04 21:24:00,EUR,0.040175192,441,92,Wednesday
2023-10-04 21:23:00,EUR,0.037238337,380,114,Wednesday
2023-10-04 21:22:00,EUR,0.02773754,345,72,Wednesday
2023-10-04 21:21:00,EUR,0.03357786,499,116,Wednesday
2023-10-04 21:20:00,EUR,0.05602878,500,128,Wednesday
2023-10-04 21:19:00,EUR,0.08132827,605,180,Wednesday
2023-10-04 21:18:00,EUR,0.049448453,568,153,Wednesday
2023-10-04 21:17:00,EUR,0.03187195,478,105,Wednesday
2023-10-04 21:16:00,EUR,0.05584095,644,148,Wednesday
2023-10-04 21:15:00,EUR,0.06370659,585,142,Wednesday
2023-10-04 21:14:00,EUR,0.043345165,470,128,Wednesday
2023-10-04 21:13:00,EUR,0.06393913,456,124,Wednesday
2023-10-04 21:12:00,EUR,0.058846455,538,149,Wednesday
2023-10-04 21:11:00,EUR,0.054854825,563,142,Wednesday
2023-10-04 21:10:00,EUR,0.049246218,535,127,Wednesday
2023-10-04 21:09:00,EUR,0.06292175,552,141,Wednesday
2023-10-04 21:08:00,EUR,0.04510533,477,100,Wednesday
2023-10-04 21:07:00,EUR,0.045751248,467,126,Wednesday
2023-10-04 21:06:00,EUR,0.06696379,590,150,Wednesday
2023-10-04 21:05:00,EUR,0.058778066,541,135,Wednesday
2023-10-04 21:04:00,EUR,0.05703514,415,98,Wednesday
2023-10-04 21:03:00,EUR,0.061166827,467,116,Wednesday
2023-10-04 21:02:00,EUR,0.05961764,613,132,Wednesday
2023-10-04 21:01:00,EUR,0.06749477,639,161,Wednesday
2023-10-04 21:00:00,EUR,0.08642307,681,187,Wednesday
2023-10-04 20:59:00,EUR,0.03950798,537,118,Wednesday
2023-10-04 20:58:00,EUR,0.042467684,576,104,Wednesday
2023-10-04 20:57:00,EUR,0.050209884,628,121,Wednesday
2023-10-04 20:56:00,EUR,0.06613317,490,132,Wednesday
2023-10-04 20:55:00,EUR,0.0441779,322,74,Wednesday
2023-10-04 20:54:00,EUR,0.06914549,370,94,Wednesday
2023-10-04 20:53:00,EUR,0.033701427,465,94,Wednesday
2023-10-04 20:52:00,EUR,0.023899084,374,68,Wednesday
2023-10-04 20:51:00,EUR,0.04149806,363,86,Wednesday
2023-10-04 20:50:00,EUR,0.02793397,283,55,Wednesday
2023-10-04 20:49:00,EUR,0.0223873,374,55,Wednesday
2023-10-04 20:48:00,EUR,0.027071256,300,54,Wednesday
2023-10-04 20:47:00,EUR,0.028646331,374,73,Wednesday
2023-10-04 20:46:00,EUR,0.056140035,439,90,Wednesday
2023-10-04 20:45:00,EUR,0.0643955,402,110,Wednesday
2023-10-04 20:44:00,EUR,0.02599074,327,61,Wednesday
2023-10-04 20:43:00,EUR,0.03699532,355,87,Wednesday
2023-10-04 20:42:00,EUR,0.039305065,430,77,Wednesday
2023-10-04 20:41:00,EUR,0.04515855,544,129,Wednesday
2023-10-04 20:40:00,EUR,0.046222094,493,106,Wednesday
2023-10-04 20:39:00,EUR,0.055628713,519,127,Wednesday
2023-10-04 20:38:00,EUR,0.07959023,513,136,Wednesday
2023-10-04 20:37:00,EUR,0.039430052,321,101,Wednesday
2023-10-04 20:36:00,EUR,0.07287583,426,113,Wednesday
