datetime,currency,revenue,auctions,impressions,weekday
2023-10-10 23:59:00,EUR,1.960532,11516,2780,Tuesday
2023-10-10 23:58:00,EUR,2.1447465,11980,2924,Tuesday
2023-10-10 23:57:00,EUR,2.0321,11919,2910,Tuesday
2023-10-10 23:56:00,EUR,1.8667213,12065,2948,Tuesday
2023-10-10 23:55:00,EUR,1.9461216,12220,3031,Tuesday
2023-10-10 23:54:00,EUR,2.2215462,12100,3016,Tuesday
2023-10-10 23:53:00,EUR,2.080229,12285,3065,Tuesday
2023-10-10 23:52:00,EUR,1.9230621,12145,3036,Tuesday
2023-10-10 23:51:00,EUR,1.9031191,12104,2963,Tuesday
2023-10-10 23:50:00,EUR,2.1137133,12250,3019,Tuesday
2023-10-10 23:49:00,EUR,2.3140304,11857,3010,Tuesday
2023-10-10 23:48:00,EUR,2.0781636,11304,2965,Tuesday
2023-10-10 23:47:00,EUR,1.909082,11247,2744,Tuesday
2023-10-10 23:46:00,EUR,1.996683,11624,2829,Tuesday
2023-10-10 23:45:00,EUR,1.9861808,11751,2890,Tuesday
2023-10-10 23:44:00,EUR,2.0622106,11947,3076,Tuesday
2023-10-10 23:43:00,EUR,2.1162772,11403,3101,Tuesday
2023-10-10 23:42:00,EUR,2.0363438,11469,3058,Tuesday
2023-10-10 23:41:00,EUR,2.2868004,12040,3246,Tuesday
2023-10-10 23:40:00,EUR,2.413601,11874,3170,Tuesday
2023-10-10 23:39:00,EUR,2.2986238,11422,2949,Tuesday
2023-10-10 23:38:00,EUR,2.1097515,10964,2792,Tuesday
2023-10-10 23:37:00,EUR,2.088237,11131,2761,Tuesday
2023-10-10 23:36:00,EUR,1.9438503,10960,2736,Tuesday
2023-10-10 23:35:00,EUR,2.1638818,10882,2897,Tuesday
2023-10-10 23:34:00,EUR,2.1653357,11158,3020,Tuesday
2023-10-10 23:33:00,EUR,2.0562134,11185,2693,Tuesday
2023-10-10 23:32:00,EUR,2.1778538,11309,2890,Tuesday
2023-10-10 23:31:00,EUR,2.4123714,11297,2893,Tuesday
2023-10-10 23:30:00,EUR,2.0765274,11733,3021,Tuesday
2023-10-10 23:29:00,EUR,2.2886894,11894,3067,Tuesday
2023-10-10 23:28:00,EUR,2.3654172,11987,2991,Tuesday
2023-10-10 23:27:00,EUR,2.066119,12600,3122,Tuesday
2023-10-10 23:26:00,EUR,1.9889365,12667,3131,Tuesday
2023-10-10 23:25:00,EUR,2.4032722,12783,3252,Tuesday
2023-10-10 23:24:00,EUR,2.4587433,12893,3304,Tuesday
2023-10-10 23:23:00,EUR,2.421664,12949,3265,Tuesday
2023-10-10 23:22:00,EUR,2.2847939,12724,3156,Tuesday
2023-10-10 23:21:00,EUR,2.245869,13045,3352,Tuesday
2023-10-10 23:20:00,EUR,2.6096797,13378,3602,Tuesday
2023-10-10 23:19:00,EUR,2.570341,13822,3786,Tuesday
2023-10-10 23:18:00,EUR,2.6826146,13255,3781,Tuesday
2023-10-10 23:17:00,EUR,2.6201184,13483,3694,Tuesday
2023-10-10 23:16:00,EUR,2.610473,13702,3710,Tuesday
2023-10-10 23:15:00,EUR,2.6889684,13531,3658,Tuesday
2023-10-10 23:14:00,EUR,3.174985,13484,3787,Tuesday
2023-10-10 23:13:00,EUR,3.0365126,13862,3889,Tuesday
2023-10-10 23:12:00,EUR,3.2031112,14091,3925,Tuesday
2023-10-10 23:11:00,EUR,3.1250217,13913,3792,Tuesday
2023-10-10 23:10:00,EUR,3.162263,14189,3837,Tuesday
2023-10-10 23:09:00,EUR,3.0065157,14225,3884,Tuesday
2023-10-10 23:08:00,EUR,2.9072595,14071,3916,Tuesday
2023-10-10 23:07:00,EUR,2.6062722,13449,3630,Tuesday
2023-10-10 23:06:00,EUR,2.9274514,13840,3775,Tuesday
2023-10-10 23:05:00,EUR,3.0029693,14229,3811,Tuesday
2023-10-10 23:04:00,EUR,3.4914832,14403,4073,Tuesday
2023-10-10 23:03:00,EUR,3.2324889,14754,3870,Tuesday
2023-10-10 23:02:00,EUR,3.6111856,14679,3934,Tuesday
2023-10-10 23:01:00,EUR,4.4030743,15364,4493,Tuesday
2023-10-10 23:00:00,EUR,4.260596,15215,4213,Tuesday
2023-10-10 22:59:00,EUR,3.3774142,14896,3737,Tuesday
2023-10-10 22:58:00,EUR,3.743676,15373,3923,Tuesday
2023-10-10 22:57:00,EUR,3.3717008,15703,3953,Tuesday
2023-10-10 22:56:00,EUR,3.66206,15898,4133,Tuesday
2023-10-10 22:55:00,EUR,3.4449875,16214,4072,Tuesday
2023-10-10 22:54:00,EUR,3.597627,16034,4018,Tuesday
2023-10-10 22:53:00,EUR,3.4701128,16350,4073,Tuesday
2023-10-10 22:52:00,EUR,3.3654423,15816,3931,Tuesday
2023-10-10 22:51:00,EUR,3.8010175,15640,4169,Tuesday
2023-10-10 22:50:00,EUR,3.5645626,15408,3963,Tuesday
2023-10-10 22:49:00,EUR,3.5877385,15214,3912,Tuesday
2023-10-10 22:48:00,EUR,3.3533444,15668,3862,Tuesday
2023-10-10 22:47:00,EUR,3.6640906,15531,3941,Tuesday
2023-10-10 22:46:00,EUR,3.36322,15795,3976,Tuesday
2023-10-10 22:45:00,EUR,3.5130966,16150,4128,Tuesday
2023-10-10 22:44:00,EUR,3.468116,16026,4152,Tuesday
2023-10-10 22:43:00,EUR,3.4988897,16426,4155,Tuesday
2023-10-10 22:42:00,EUR,3.462444,16566,4191,Tuesday
2023-10-10 22:41:00,EUR,3.350072,16905,4181,Tuesday
2023-10-10 22:40:00,EUR,3.8043199,16573,4333,Tuesday
2023-10-10 22:39:00,EUR,3.8339274,16663,4377,Tuesday
2023-10-10 22:38:00,EUR,3.772814,16514,4131,Tuesday
2023-10-10 22:37:00,EUR,3.6672075,16613,4227,Tuesday
2023-10-10 22:36:00,EUR,3.9357142,17522,4467,Tuesday
2023-10-10 22:35:00,EUR,3.7779016,17539,4461,Tuesday
2023-10-10 22:34:00,EUR,3.8132637,17964,4560,Tuesday
2023-10-10 22:33:00,EUR,3.8309748,17857,4583,Tuesday
2023-10-10 22:32:00,EUR,3.752457,17530,4563,Tuesday
2023-10-10 22:31:00,EUR,3.8678658,17929,4524,Tuesday
2023-10-10 22:30:00,EUR,3.8918264,18213,4667,Tuesday
2023-10-10 22:29:00,EUR,3.8299162,18734,4665,Tuesday
2023-10-10 22:28:00,EUR,4.13607,18869,4823,Tuesday
2023-10-10 22:27:00,EUR,3.831382,18689,4634,Tuesday
2023-10-10 22:26:00,EUR,3.910532,19039,4733,Tuesday
2023-10-10 22:25:00,EUR,4.0917196,19015,4852,Tuesday
2023-10-10 22:24:00,EUR,4.189385,18947,5021,Tuesday
2023-10-10 22:23:00,EUR,4.3586917,18933,4992,Tuesday
2023-10-10 22:22:00,EUR,4.3112364,18858,5009,Tuesday
2023-10-10 22:21:00,EUR,4.104968,18365,4810,Tuesday
2023-10-10 22:20:00,EUR,4.1098194,18682,4785,Tuesday
2023-10-10 22:19:00,EUR,4.4974113,19427,5128,Tuesday
2023-10-10 22:18:00,EUR,4.093052,18886,4839,Tuesday
2023-10-10 22:17:00,EUR,4.181073,18829,4741,Tuesday
2023-10-10 22:16:00,EUR,4.1409354,18743,4729,Tuesday
2023-10-10 22:15:00,EUR,4.0479746,18828,4692,Tuesday
2023-10-10 22:14:00,EUR,4.283556,18899,4930,Tuesday
2023-10-10 22:13:00,EUR,4.0982337,18633,4673,Tuesday
2023-10-10 22:12:00,EUR,4.0664625,18242,4825,Tuesday
2023-10-10 22:11:00,EUR,4.343967,18714,4953,Tuesday
2023-10-10 22:10:00,EUR,4.5841517,18023,4836,Tuesday
2023-10-10 22:09:00,EUR,4.537881,17957,4842,Tuesday
2023-10-10 22:08:00,EUR,4.4185348,18375,4949,Tuesday
