datetime,currency,revenue,auctions,impressions,weekday
2023-10-10 23:59:00,EUR,0.69418293,1336,411,Tuesday
2023-10-10 23:58:00,EUR,0.69621074,1368,385,Tuesday
2023-10-10 23:57:00,EUR,0.8126232,1365,449,Tuesday
2023-10-10 23:56:00,EUR,0.9267991,1415,478,Tuesday
2023-10-10 23:55:00,EUR,0.94096684,1456,485,Tuesday
2023-10-10 23:54:00,EUR,0.894813,1372,445,Tuesday
2023-10-10 23:53:00,EUR,0.7488149,1400,438,Tuesday
2023-10-10 23:52:00,EUR,0.8785431,1472,426,Tuesday
2023-10-10 23:51:00,EUR,0.7324363,1359,425,Tuesday
2023-10-10 23:50:00,EUR,0.73063016,1390,451,Tuesday
2023-10-10 23:49:00,EUR,0.79004383,1425,432,Tuesday
2023-10-10 23:48:00,EUR,0.78108644,1525,474,Tuesday
2023-10-10 23:47:00,EUR,0.78963536,1410,443,Tuesday
2023-10-10 23:46:00,EUR,0.9204371,1464,498,Tuesday
2023-10-10 23:45:00,EUR,0.9265889,1551,522,Tuesday
2023-10-10 23:44:00,EUR,0.8606933,1505,443,Tuesday
2023-10-10 23:43:00,EUR,0.5751195,1290,397,Tuesday
2023-10-10 23:42:00,EUR,0.794238,1569,492,Tuesday
2023-10-10 23:41:00,EUR,0.86303747,1642,484,Tuesday
2023-10-10 23:40:00,EUR,1.0998718,1516,539,Tuesday
2023-10-10 23:39:00,EUR,0.76273715,1468,475,Tuesday
2023-10-10 23:38:00,EUR,0.7217829,1514,461,Tuesday
2023-10-10 23:37:00,EUR,0.6556151,1497,429,Tuesday
2023-10-10 23:36:00,EUR,0.6775662,1417,397,Tuesday
2023-10-10 23:35:00,EUR,0.7841237,1533,476,Tuesday
2023-10-10 23:34:00,EUR,0.8538433,1757,475,Tuesday
2023-10-10 23:33:00,EUR,0.82233506,1656,447,Tuesday
2023-10-10 23:32:00,EUR,0.80990815,1548,464,Tuesday
2023-10-10 23:31:00,EUR,0.71965885,1479,420,Tuesday
2023-10-10 23:30:00,EUR,0.6931932,1433,403,Tuesday
2023-10-10 23:29:00,EUR,0.8835136,1641,474,Tuesday
2023-10-10 23:28:00,EUR,0.7880756,1636,472,Tuesday
2023-10-10 23:27:00,EUR,0.7535854,1522,476,Tuesday
2023-10-10 23:26:00,EUR,0.90228707,1419,478,Tuesday
2023-10-10 23:25:00,EUR,0.8936628,1672,510,Tuesday
2023-10-10 23:24:00,EUR,0.78992784,1611,478,Tuesday
2023-10-10 23:23:00,EUR,0.7729436,1661,482,Tuesday
2023-10-10 23:22:00,EUR,0.8774038,1765,518,Tuesday
2023-10-10 23:21:00,EUR,0.8790884,1780,523,Tuesday
2023-10-10 23:20:00,EUR,0.9567174,1593,544,Tuesday
2023-10-10 23:19:00,EUR,0.82669973,1635,481,Tuesday
2023-10-10 23:18:00,EUR,0.98774856,1589,479,Tuesday
2023-10-10 23:17:00,EUR,0.9640792,1630,482,Tuesday
2023-10-10 23:16:00,EUR,0.9120839,1806,510,Tuesday
2023-10-10 23:15:00,EUR,0.9722537,1443,470,Tuesday
2023-10-10 23:14:00,EUR,0.93957406,1642,512,Tuesday
2023-10-10 23:13:00,EUR,1.0450728,1750,538,Tuesday
2023-10-10 23:12:00,EUR,1.1843334,1912,576,Tuesday
2023-10-10 23:11:00,EUR,1.1187639,1889,547,Tuesday
2023-10-10 23:10:00,EUR,1.0697055,1654,545,Tuesday
2023-10-10 23:09:00,EUR,0.91779107,1740,500,Tuesday
2023-10-10 23:08:00,EUR,0.7936614,1773,462,Tuesday
2023-10-10 23:07:00,EUR,0.9625239,1787,505,Tuesday
2023-10-10 23:06:00,EUR,0.95354515,1832,538,Tuesday
2023-10-10 23:05:00,EUR,1.0234035,1621,525,Tuesday
2023-10-10 23:04:00,EUR,1.4500692,1932,637,Tuesday
2023-10-10 23:03:00,EUR,1.3791465,1978,632,Tuesday
2023-10-10 23:02:00,EUR,1.1350636,1955,633,Tuesday
2023-10-10 23:01:00,EUR,1.1145349,1947,651,Tuesday
2023-10-10 23:00:00,EUR,1.315954,2200,642,Tuesday
2023-10-10 22:59:00,EUR,1.3089019,2124,706,Tuesday
2023-10-10 22:58:00,EUR,1.272414,2152,626,Tuesday
2023-10-10 22:57:00,EUR,1.5045936,2201,649,Tuesday
2023-10-10 22:56:00,EUR,1.2281892,1982,604,Tuesday
2023-10-10 22:55:00,EUR,1.2417233,2092,591,Tuesday
2023-10-10 22:54:00,EUR,1.2164593,2240,653,Tuesday
2023-10-10 22:53:00,EUR,1.3735001,2326,705,Tuesday
2023-10-10 22:52:00,EUR,1.284259,2215,637,Tuesday
2023-10-10 22:51:00,EUR,1.1435158,2167,624,Tuesday
2023-10-10 22:50:00,EUR,1.0404924,2090,559,Tuesday
2023-10-10 22:49:00,EUR,1.2037514,2459,703,Tuesday
2023-10-10 22:48:00,EUR,1.2264005,2233,673,Tuesday
2023-10-10 22:47:00,EUR,1.1196527,2218,629,Tuesday
2023-10-10 22:46:00,EUR,1.3017151,2269,683,Tuesday
2023-10-10 22:45:00,EUR,1.4464709,2219,692,Tuesday
2023-10-10 22:44:00,EUR,1.2675365,2396,676,Tuesday
2023-10-10 22:43:00,EUR,1.276631,2309,675,Tuesday
2023-10-10 22:42:00,EUR,1.1798673,2196,670,Tuesday
2023-10-10 22:41:00,EUR,1.2052405,2328,679,Tuesday
2023-10-10 22:40:00,EUR,1.2225903,2462,708,Tuesday
2023-10-10 22:39:00,EUR,1.229326,2536,691,Tuesday
2023-10-10 22:38:00,EUR,1.4003006,2571,701,Tuesday
2023-10-10 22:37:00,EUR,1.2919137,2518,682,Tuesday
2023-10-10 22:36:00,EUR,1.7295878,2772,824,Tuesday
2023-10-10 22:35:00,EUR,1.4287945,2791,782,Tuesday
2023-10-10 22:34:00,EUR,1.7378963,2767,835,Tuesday
2023-10-10 22:33:00,EUR,1.4628257,2869,821,Tuesday
2023-10-10 22:32:00,EUR,1.2766778,2765,792,Tuesday
2023-10-10 22:31:00,EUR,1.3827292,2774,807,Tuesday
2023-10-10 22:30:00,EUR,1.154352,2575,711,Tuesday
2023-10-10 22:29:00,EUR,1.1464251,2970,804,Tuesday
2023-10-10 22:28:00,EUR,0.9771681,2744,661,Tuesday
2023-10-10 22:27:00,EUR,1.1466311,2672,702,Tuesday
2023-10-10 22:26:00,EUR,1.1610514,2821,710,Tuesday
2023-10-10 22:25:00,EUR,1.0665822,2692,671,Tuesday
2023-10-10 22:24:00,EUR,1.3498504,3011,790,Tuesday
2023-10-10 22:23:00,EUR,1.199392,2671,745,Tuesday
2023-10-10 22:22:00,EUR,1.0470871,2898,695,Tuesday
2023-10-10 22:21:00,EUR,1.2105699,2875,726,Tuesday
2023-10-10 22:20:00,EUR,1.2634745,3138,788,Tuesday
2023-10-10 22:19:00,EUR,1.1170498,2918,716,Tuesday
2023-10-10 22:18:00,EUR,1.2140964,3001,713,Tuesday
2023-10-10 22:17:00,EUR,1.0799323,2867,721,Tuesday
2023-10-10 22:16:00,EUR,1.1193763,2983,746,Tuesday
2023-10-10 22:15:00,EUR,1.3050827,3185,815,Tuesday
2023-10-10 22:14:00,EUR,1.1763345,3148,757,Tuesday
2023-10-10 22:13:00,EUR,1.1753975,3123,736,Tuesday
2023-10-10 22:12:00,EUR,1.1410629,3103,718,Tuesday
2023-10-10 22:11:00,EUR,1.246858,3266,764,Tuesday
2023-10-10 22:10:00,EUR,1.0942383,3396,694,Tuesday
2023-10-10 22:09:00,EUR,0.99867564,3376,712,Tuesday
2023-10-10 22:08:00,EUR,1.1971076,3402,772,Tuesday
2023-10-10 22:07:00,EUR,1.1096598,3196,757,Tuesday
2023-10-10 22:06:00,EUR,1.1970333,3103,741,Tuesday
2023-10-10 22:05:00,EUR,1.5079495,3439,839,Tuesday
2023-10-10 22:04:00,EUR,1.6620702,3661,932,Tuesday
2023-10-10 22:03:00,EUR,1.4501411,3489,840,Tuesday
2023-10-10 22:02:00,EUR,1.2572505,3512,741,Tuesday
2023-10-10 22:01:00,EUR,1.429514,3431,876,Tuesday
2023-10-10 22:00:00,EUR,1.5021077,3682,917,Tuesday
2023-10-10 21:59:00,EUR,1.5140036,3797,1078,Tuesday
2023-10-10 21:58:00,EUR,1.5191017,3670,1136,Tuesday
2023-10-10 21:57:00,EUR,1.2957649,3891,1119,Tuesday
2023-10-10 21:56:00,EUR,1.3501946,3846,1083,Tuesday
2023-10-10 21:55:00,EUR,1.4071058,3797,1139,Tuesday
2023-10-10 21:54:00,EUR,1.5887508,3879,1153,Tuesday
2023-10-10 21:53:00,EUR,1.5753964,3977,1161,Tuesday
2023-10-10 21:52:00,EUR,1.4168837,3724,1105,Tuesday
2023-10-10 21:51:00,EUR,1.6463456,4128,1222,Tuesday
2023-10-10 21:50:00,EUR,1.7050077,4105,1261,Tuesday
2023-10-10 21:49:00,EUR,1.7577653,4403,1305,Tuesday
2023-10-10 21:48:00,EUR,1.5116742,4330,1205,Tuesday
2023-10-10 21:47:00,EUR,1.4838018,4228,1232,Tuesday
2023-10-10 21:46:00,EUR,1.4693125,4233,1222,Tuesday
2023-10-10 21:45:00,EUR,1.7061206,4293,1381,Tuesday
2023-10-10 21:44:00,EUR,1.7455181,4427,1401,Tuesday
2023-10-10 21:43:00,EUR,2.023908,4308,1448,Tuesday
2023-10-10 21:42:00,EUR,1.6677392,4386,1344,Tuesday
2023-10-10 21:41:00,EUR,1.8824338,4446,1387,Tuesday
2023-10-10 21:40:00,EUR,1.900492,4659,1461,Tuesday
2023-10-10 21:39:00,EUR,1.9400911,4911,1468,Tuesday
2023-10-10 21:38:00,EUR,1.7963895,4848,1434,Tuesday
2023-10-10 21:37:00,EUR,1.7794331,4723,1337,Tuesday
2023-10-10 21:36:00,EUR,1.9213243,4967,1481,Tuesday
2023-10-10 21:35:00,EUR,1.9454,4987,1528,Tuesday
2023-10-10 21:34:00,EUR,2.217673,5225,1688,Tuesday
2023-10-10 21:33:00,EUR,2.1862748,5187,1651,Tuesday
2023-10-10 21:32:00,EUR,2.0954976,5108,1587,Tuesday
2023-10-10 21:31:00,EUR,1.9362559,5001,1530,Tuesday
2023-10-10 21:30:00,EUR,2.1599865,5379,1628,Tuesday
2023-10-10 21:29:00,EUR,2.077905,5831,1632,Tuesday
2023-10-10 21:28:00,EUR,2.1053128,5330,1601,Tuesday
2023-10-10 21:27:00,EUR,2.18718,5499,1738,Tuesday
2023-10-10 21:26:00,EUR,2.3348446,5726,1806,Tuesday
2023-10-10 21:25:00,EUR,2.1619363,5577,1673,Tuesday
2023-10-10 21:24:00,EUR,2.2083955,5556,1695,Tuesday
2023-10-10 21:23:00,EUR,2.317086,5697,1834,Tuesday
2023-10-10 21:22:00,EUR,2.387653,5903,1869,Tuesday
2023-10-10 21:21:00,EUR,2.3331583,6043,1826,Tuesday
2023-10-10 21:20:00,EUR,2.391592,5983,1914,Tuesday
2023-10-10 21:19:00,EUR,2.5252912,6108,1971,Tuesday
2023-10-10 21:18:00,EUR,2.1683002,6092,1774,Tuesday
2023-10-10 21:17:00,EUR,2.3043294,6002,1822,Tuesday
2023-10-10 21:16:00,EUR,2.43228,5721,1876,Tuesday
2023-10-10 21:15:00,EUR,2.5135107,6271,2069,Tuesday
2023-10-10 21:14:00,EUR,2.667216,6540,2072,Tuesday
2023-10-10 21:13:00,EUR,2.7419062,6622,2086,Tuesday
2023-10-10 21:12:00,EUR,2.4729247,6702,2038,Tuesday
2023-10-10 21:11:00,EUR,2.5164778,6725,2074,Tuesday
2023-10-10 21:10:00,EUR,2.9570258,7062,2243,Tuesday
2023-10-10 21:09:00,EUR,2.5235586,6647,2160,Tuesday
2023-10-10 21:08:00,EUR,2.2793345,6766,2038,Tuesday
2023-10-10 21:07:00,EUR,2.5351717,6902,2150,Tuesday
2023-10-10 21:06:00,EUR,3.0165598,6910,2100,Tuesday
2023-10-10 21:05:00,EUR,2.9226255,7006,2179,Tuesday
2023-10-10 21:04:00,EUR,2.9839842,6852,2195,Tuesday
2023-10-10 21:03:00,EUR,2.7435412,6799,2257,Tuesday
2023-10-10 21:02:00,EUR,2.5921342,6915,2110,Tuesday
2023-10-10 21:01:00,EUR,2.7853358,7069,2182,Tuesday
2023-10-10 21:00:00,EUR,3.0104313,7452,2284,Tuesday
2023-10-10 20:59:00,EUR,2.533544,7445,2122,Tuesday
2023-10-10 20:58:00,EUR,3.009497,7743,2316,Tuesday
2023-10-10 20:57:00,EUR,2.7615836,7425,2222,Tuesday
2023-10-10 20:56:00,EUR,2.8119938,7845,2406,Tuesday
2023-10-10 20:55:00,EUR,2.8535755,7803,2299,Tuesday
2023-10-10 20:54:00,EUR,2.810032,7863,2386,Tuesday
2023-10-10 20:53:00,EUR,3.021607,8105,2614,Tuesday
2023-10-10 20:52:00,EUR,2.787739,7554,2365,Tuesday
2023-10-10 20:51:00,EUR,2.846345,7829,2438,Tuesday
2023-10-10 20:50:00,EUR,2.6609251,7771,2330,Tuesday
2023-10-10 20:49:00,EUR,2.917192,7862,2438,Tuesday
2023-10-10 20:48:00,EUR,2.8404865,7879,2457,Tuesday
2023-10-10 20:47:00,EUR,3.0197735,7970,2528,Tuesday
2023-10-10 20:46:00,EUR,2.879197,7952,2429,Tuesday
2023-10-10 20:45:00,EUR,2.8432925,8132,2510,Tuesday
2023-10-10 20:44:00,EUR,2.8459897,7875,2497,Tuesday
2023-10-10 20:43:00,EUR,2.7762961,8062,2438,Tuesday
2023-10-10 20:42:00,EUR,3.346057,8035,2574,Tuesday
2023-10-10 20:41:00,EUR,3.2363472,8576,2733,Tuesday
2023-10-10 20:40:00,EUR,3.2900174,8541,2718,Tuesday
2023-10-10 20:39:00,EUR,3.0425248,8570,2630,Tuesday
2023-10-10 20:38:00,EUR,3.076657,8957,2607,Tuesday
2023-10-10 20:37:00,EUR,3.1724253,8504,2595,Tuesday
2023-10-10 20:36:00,EUR,3.307276,8431,2612,Tuesday
2023-10-10 20:35:00,EUR,3.2070808,8506,2598,Tuesday
2023-10-10 20:34:00,EUR,3.0624502,7950,2497,Tuesday
2023-10-10 20:33:00,EUR,3.1007104,8157,2488,Tuesday
2023-10-10 20:32:00,EUR,3.41911,8253,2652,Tuesday
2023-10-10 20:31:00,EUR,3.4368832,8583,2728,Tuesday
2023-10-10 20:30:00,EUR,2.8466632,8416,2502,Tuesday
2023-10-10 20:29:00,EUR,2.9477978,9000,2708,Tuesday
2023-10-10 20:28:00,EUR,3.3408654,9138,2845,Tuesday
2023-10-10 20:27:00,EUR,3.2427135,8798,2821,Tuesday
2023-10-10 20:26:00,EUR,3.3085182,9149,2852,Tuesday
2023-10-10 20:25:00,EUR,3.7007682,8962,2961,Tuesday
2023-10-10 20:24:00,EUR,3.1244872,8552,2654,Tuesday
2023-10-10 20:23:00,EUR,3.385401,9484,2863,Tuesday
2023-10-10 20:22:00,EUR,3.4300523,9367,2945,Tuesday
2023-10-10 20:21:00,EUR,3.373696,9409,2883,Tuesday
2023-10-10 20:20:00,EUR,3.2974687,8859,2830,Tuesday
2023-10-10 20:19:00,EUR,3.1969106,9165,2778,Tuesday
2023-10-10 20:18:00,EUR,3.5808656,9162,2966,Tuesday
2023-10-10 20:17:00,EUR,3.4697874,9586,2903,Tuesday
2023-10-10 20:16:00,EUR,3.5530746,9388,2949,Tuesday
2023-10-10 20:15:00,EUR,3.4270868,9505,2836,Tuesday
2023-10-10 20:14:00,EUR,3.5789456,10139,3098,Tuesday
2023-10-10 20:13:00,EUR,3.8662896,10201,3091,Tuesday
2023-10-10 20:12:00,EUR,3.7854922,9693,3092,Tuesday
2023-10-10 20:11:00,EUR,4.049963,10139,3245,Tuesday
2023-10-10 20:10:00,EUR,3.807926,10048,3182,Tuesday
2023-10-10 20:09:00,EUR,4.4668384,10325,3501,Tuesday
2023-10-10 20:08:00,EUR,3.8645892,9860,3248,Tuesday
2023-10-10 20:07:00,EUR,4.080172,10180,3309,Tuesday
2023-10-10 20:06:00,EUR,4.035872,10521,3359,Tuesday
2023-10-10 20:05:00,EUR,4.4969654,10704,3506,Tuesday
2023-10-10 20:04:00,EUR,4.1983285,10491,3453,Tuesday
2023-10-10 20:03:00,EUR,4.1800213,10676,3381,Tuesday
2023-10-10 20:02:00,EUR,4.2481914,10499,3330,Tuesday
2023-10-10 20:01:00,EUR,4.393442,10794,3528,Tuesday
2023-10-10 20:00:00,EUR,4.5693903,10169,3464,Tuesday
2023-10-10 19:59:00,EUR,3.9984846,9787,3245,Tuesday
2023-10-10 19:58:00,EUR,4.2051935,9777,3169,Tuesday
2023-10-10 19:57:00,EUR,3.8980508,9928,3144,Tuesday
2023-10-10 19:56:00,EUR,4.1193485,10048,3306,Tuesday
2023-10-10 19:55:00,EUR,4.02199,9894,3234,Tuesday
2023-10-10 19:54:00,EUR,3.9298668,10352,3264,Tuesday
2023-10-10 19:53:00,EUR,3.970536,10466,3300,Tuesday
2023-10-10 19:52:00,EUR,4.2993107,9941,3221,Tuesday
2023-10-10 19:51:00,EUR,4.231736,10343,3385,Tuesday
2023-10-10 19:50:00,EUR,4.1136665,9828,3326,Tuesday
2023-10-10 19:49:00,EUR,4.6267085,10765,3548,Tuesday
2023-10-10 19:48:00,EUR,4.228353,10508,3441,Tuesday
2023-10-10 19:47:00,EUR,4.753293,10555,3781,Tuesday
2023-10-10 19:46:00,EUR,5.2045307,10986,4033,Tuesday
2023-10-10 19:45:00,EUR,5.141635,10968,3865,Tuesday
2023-10-10 19:44:00,EUR,4.633859,11059,3641,Tuesday
2023-10-10 19:43:00,EUR,4.714912,11355,3695,Tuesday
2023-10-10 19:42:00,EUR,4.4886103,11441,3693,Tuesday
2023-10-10 19:41:00,EUR,4.7636886,11332,3858,Tuesday
2023-10-10 19:40:00,EUR,4.810016,11307,3923,Tuesday
2023-10-10 19:39:00,EUR,4.753088,12032,3961,Tuesday
2023-10-10 19:38:00,EUR,5.231386,11609,4110,Tuesday
2023-10-10 19:37:00,EUR,5.6086407,11904,4243,Tuesday
2023-10-10 19:36:00,EUR,6.03781,11418,4429,Tuesday
2023-10-10 19:35:00,EUR,5.3080983,12014,4042,Tuesday
2023-10-10 19:34:00,EUR,4.9152775,11830,3762,Tuesday
2023-10-10 19:33:00,EUR,5.7768435,11815,3868,Tuesday
2023-10-10 19:32:00,EUR,4.8298287,11280,3726,Tuesday
2023-10-10 19:31:00,EUR,5.143063,12158,3867,Tuesday
2023-10-10 19:30:00,EUR,5.108757,11699,3853,Tuesday
2023-10-10 19:29:00,EUR,4.8342876,11728,3758,Tuesday
2023-10-10 19:28:00,EUR,4.7258053,11413,3672,Tuesday
2023-10-10 19:27:00,EUR,4.908881,11958,3896,Tuesday
2023-10-10 19:26:00,EUR,4.830639,12220,3972,Tuesday
2023-10-10 19:25:00,EUR,5.24364,12127,4055,Tuesday
2023-10-10 19:24:00,EUR,5.1744857,12088,4067,Tuesday
