datetime,currency,revenue,auctions,impressions,weekday
2023-10-10 23:59:00,PLN,0.059770115,140,15,Tuesday
2023-10-10 23:58:00,PLN,0.05081707,127,15,Tuesday
2023-10-10 23:57:00,PLN,0.04327315,145,14,Tuesday
2023-10-10 23:56:00,PLN,0.035082843,135,12,Tuesday
2023-10-10 23:55:00,PLN,0.02451073,141,11,Tuesday
2023-10-10 23:54:00,PLN,0.032291986,143,13,Tuesday
2023-10-10 23:53:00,PLN,0.033636436,155,14,Tuesday
2023-10-10 23:52:00,PLN,0.03393486,155,16,Tuesday
2023-10-10 23:51:00,PLN,0.025235314,146,13,Tuesday
2023-10-10 23:50:00,PLN,0.026231095,154,11,Tuesday
2023-10-10 23:49:00,PLN,0.04380299,145,13,Tuesday
2023-10-10 23:48:00,PLN,0.052162938,164,14,Tuesday
2023-10-10 23:47:00,PLN,0.013784489,146,6,Tuesday
2023-10-10 23:46:00,PLN,0.017997367,152,13,Tuesday
2023-10-10 23:45:00,PLN,0.021531884,123,13,Tuesday
2023-10-10 23:44:00,PLN,0.044267144,146,6,Tuesday
2023-10-10 23:43:00,PLN,0.0317025,136,15,Tuesday
2023-10-10 23:42:00,PLN,0.034693036,128,13,Tuesday
2023-10-10 23:41:00,PLN,0.024990503,153,15,Tuesday
2023-10-10 23:40:00,PLN,0.026615916,152,10,Tuesday
2023-10-10 23:39:00,PLN,0.016150527,126,6,Tuesday
2023-10-10 23:38:00,PLN,0.02906958,140,14,Tuesday
2023-10-10 23:37:00,PLN,0.019604266,124,11,Tuesday
2023-10-10 23:36:00,PLN,0.02012378,147,13,Tuesday
2023-10-10 23:35:00,PLN,0.0153878145,129,8,Tuesday
2023-10-10 23:34:00,PLN,0.017742915,130,12,Tuesday
2023-10-10 23:33:00,PLN,0.039543364,137,11,Tuesday
2023-10-10 23:32:00,PLN,0.069030374,128,18,Tuesday
2023-10-10 23:31:00,PLN,0.028271817,120,11,Tuesday
2023-10-10 23:30:00,PLN,0.0452047,143,15,Tuesday
2023-10-10 23:29:00,PLN,0.033196755,124,9,Tuesday
2023-10-10 23:28:00,PLN,0.03916424,147,17,Tuesday
2023-10-10 23:27:00,PLN,0.022343392,131,9,Tuesday
2023-10-10 23:26:00,PLN,0.033953574,120,13,Tuesday
2023-10-10 23:25:00,PLN,0.03784818,119,11,Tuesday
2023-10-10 23:24:00,PLN,0.014122893,145,8,Tuesday
2023-10-10 23:23:00,PLN,0.0044516786,129,5,Tuesday
2023-10-10 23:22:00,PLN,0.036846947,157,17,Tuesday
2023-10-10 23:21:00,PLN,0.019628018,159,12,Tuesday
2023-10-10 23:20:00,PLN,0.015489997,145,10,Tuesday
2023-10-10 23:19:00,PLN,0.019920168,128,13,Tuesday
2023-10-10 23:18:00,PLN,0.027282292,137,15,Tuesday
2023-10-10 23:17:00,PLN,0.025837658,141,15,Tuesday
2023-10-10 23:16:00,PLN,0.017459525,139,12,Tuesday
2023-10-10 23:15:00,PLN,0.010239214,130,11,Tuesday
2023-10-10 23:14:00,PLN,0.016333375,147,12,Tuesday
2023-10-10 23:13:00,PLN,0.01814343,124,15,Tuesday
2023-10-10 23:12:00,PLN,0.010447316,144,12,Tuesday
2023-10-10 23:11:00,PLN,0.03220633,150,14,Tuesday
2023-10-10 23:10:00,PLN,0.027596619,130,16,Tuesday
2023-10-10 23:09:00,PLN,0.023494745,145,15,Tuesday
2023-10-10 23:08:00,PLN,0.023248266,126,14,Tuesday
2023-10-10 23:07:00,PLN,0.01609704,138,14,Tuesday
2023-10-10 23:06:00,PLN,0.018928912,122,17,Tuesday
2023-10-10 23:05:00,PLN,0.018102055,116,16,Tuesday
2023-10-10 23:04:00,PLN,0.0208058,125,15,Tuesday
2023-10-10 23:03:00,PLN,0.03490283,143,21,Tuesday
2023-10-10 23:02:00,PLN,0.032811806,164,17,Tuesday
2023-10-10 23:01:00,PLN,0.037230372,161,21,Tuesday
2023-10-10 23:00:00,PLN,0.081216,156,21,Tuesday
2023-10-10 22:59:00,PLN,0.058490057,177,24,Tuesday
2023-10-10 22:58:00,PLN,0.11938993,181,34,Tuesday
2023-10-10 22:57:00,PLN,0.10582793,163,34,Tuesday
2023-10-10 22:56:00,PLN,0.09061585,163,25,Tuesday
2023-10-10 22:55:00,PLN,0.07064256,159,23,Tuesday
2023-10-10 22:54:00,PLN,0.08471654,165,30,Tuesday
2023-10-10 22:53:00,PLN,0.08517169,163,22,Tuesday
2023-10-10 22:52:00,PLN,0.09627508,140,22,Tuesday
2023-10-10 22:51:00,PLN,0.04176872,172,17,Tuesday
2023-10-10 22:50:00,PLN,0.050536543,161,19,Tuesday
2023-10-10 22:49:00,PLN,0.073257394,182,19,Tuesday
2023-10-10 22:48:00,PLN,0.059357528,190,15,Tuesday
2023-10-10 22:47:00,PLN,0.080827884,177,13,Tuesday
2023-10-10 22:46:00,PLN,0.071215756,161,16,Tuesday
2023-10-10 22:45:00,PLN,0.06440523,157,19,Tuesday
2023-10-10 22:44:00,PLN,0.04502393,164,18,Tuesday
2023-10-10 22:43:00,PLN,0.04678478,161,15,Tuesday
2023-10-10 22:42:00,PLN,0.027715113,153,12,Tuesday
2023-10-10 22:41:00,PLN,0.026166657,150,11,Tuesday
2023-10-10 22:40:00,PLN,0.039902985,144,16,Tuesday
2023-10-10 22:39:00,PLN,0.041247312,166,13,Tuesday
2023-10-10 22:38:00,PLN,0.047844995,169,12,Tuesday
2023-10-10 22:37:00,PLN,0.031326175,136,20,Tuesday
2023-10-10 22:36:00,PLN,0.037220456,131,15,Tuesday
2023-10-10 22:35:00,PLN,0.052262213,157,16,Tuesday
2023-10-10 22:34:00,PLN,0.04220095,159,16,Tuesday
2023-10-10 22:33:00,PLN,0.03665131,147,17,Tuesday
2023-10-10 22:32:00,PLN,0.121694654,156,19,Tuesday
2023-10-10 22:31:00,PLN,0.15481824,158,19,Tuesday
2023-10-10 22:30:00,PLN,0.14837629,148,16,Tuesday
2023-10-10 22:29:00,PLN,0.26122606,180,25,Tuesday
2023-10-10 22:28:00,PLN,0.29187295,182,29,Tuesday
2023-10-10 22:27:00,PLN,0.24139832,158,29,Tuesday
2023-10-10 22:26:00,PLN,0.25897747,164,20,Tuesday
2023-10-10 22:25:00,PLN,0.26351765,174,25,Tuesday
2023-10-10 22:24:00,PLN,0.16033068,161,25,Tuesday
2023-10-10 22:23:00,PLN,0.29768336,166,24,Tuesday
2023-10-10 22:22:00,PLN,0.22880995,155,22,Tuesday
2023-10-10 22:21:00,PLN,0.050897375,158,17,Tuesday
2023-10-10 22:20:00,PLN,0.03099653,150,15,Tuesday
2023-10-10 22:19:00,PLN,0.022376763,145,17,Tuesday
2023-10-10 22:18:00,PLN,0.04913626,179,20,Tuesday
2023-10-10 22:17:00,PLN,0.035394948,139,16,Tuesday
2023-10-10 22:16:00,PLN,0.03707819,124,13,Tuesday
2023-10-10 22:15:00,PLN,0.050695494,159,17,Tuesday
2023-10-10 22:14:00,PLN,0.04945839,175,14,Tuesday
2023-10-10 22:13:00,PLN,0.04213195,155,17,Tuesday
2023-10-10 22:12:00,PLN,0.06958974,182,18,Tuesday
2023-10-10 22:11:00,PLN,0.042254917,182,17,Tuesday
2023-10-10 22:10:00,PLN,0.02014302,153,5,Tuesday
2023-10-10 22:09:00,PLN,0.02912195,162,7,Tuesday
2023-10-10 22:08:00,PLN,0.06331517,172,9,Tuesday
2023-10-10 22:07:00,PLN,0.05644668,176,15,Tuesday
2023-10-10 22:06:00,PLN,0.03948837,180,13,Tuesday
2023-10-10 22:05:00,PLN,0.06283296,161,10,Tuesday
2023-10-10 22:04:00,PLN,0.08077128,184,15,Tuesday
2023-10-10 22:03:00,PLN,0.08788238,177,19,Tuesday
2023-10-10 22:02:00,PLN,0.06428321,173,18,Tuesday
2023-10-10 22:01:00,PLN,0.08372941,165,22,Tuesday
2023-10-10 22:00:00,PLN,0.08888475,182,28,Tuesday
2023-10-10 21:59:00,PLN,0.050022222,182,15,Tuesday
2023-10-10 21:58:00,PLN,0.08924927,178,24,Tuesday
2023-10-10 21:57:00,PLN,0.09959389,200,26,Tuesday
2023-10-10 21:56:00,PLN,0.10348925,197,24,Tuesday
2023-10-10 21:55:00,PLN,0.08389881,162,19,Tuesday
2023-10-10 21:54:00,PLN,0.07801521,171,17,Tuesday
2023-10-10 21:53:00,PLN,0.10628133,190,22,Tuesday
2023-10-10 21:52:00,PLN,0.059465338,179,18,Tuesday
2023-10-10 21:51:00,PLN,0.073361106,165,20,Tuesday
2023-10-10 21:50:00,PLN,0.07431934,169,15,Tuesday
2023-10-10 21:49:00,PLN,0.09433401,194,21,Tuesday
2023-10-10 21:48:00,PLN,0.07143795,191,22,Tuesday
2023-10-10 21:47:00,PLN,0.07793305,186,28,Tuesday
2023-10-10 21:46:00,PLN,0.06538568,212,23,Tuesday
2023-10-10 21:45:00,PLN,0.045097895,222,21,Tuesday
2023-10-10 21:44:00,PLN,0.10904748,216,28,Tuesday
2023-10-10 21:43:00,PLN,0.09691721,203,29,Tuesday
2023-10-10 21:42:00,PLN,0.06507167,194,24,Tuesday
2023-10-10 21:41:00,PLN,0.065306365,197,21,Tuesday
2023-10-10 21:40:00,PLN,0.0694728,190,28,Tuesday
2023-10-10 21:39:00,PLN,0.080890894,199,26,Tuesday
2023-10-10 21:38:00,PLN,0.09641461,227,31,Tuesday
2023-10-10 21:37:00,PLN,0.10068648,217,28,Tuesday
2023-10-10 21:36:00,PLN,0.06784668,218,24,Tuesday
2023-10-10 21:35:00,PLN,0.07918197,217,20,Tuesday
2023-10-10 21:34:00,PLN,0.108803816,211,34,Tuesday
2023-10-10 21:33:00,PLN,0.06991463,196,19,Tuesday
2023-10-10 21:32:00,PLN,0.0761885,198,30,Tuesday
2023-10-10 21:31:00,PLN,0.05904196,184,23,Tuesday
2023-10-10 21:30:00,PLN,0.073753424,185,26,Tuesday
2023-10-10 21:29:00,PLN,0.060722176,206,25,Tuesday
2023-10-10 21:28:00,PLN,0.05206888,185,15,Tuesday
2023-10-10 21:27:00,PLN,0.073644556,205,25,Tuesday
2023-10-10 21:26:00,PLN,0.08481089,198,27,Tuesday
2023-10-10 21:25:00,PLN,0.06941232,198,24,Tuesday
2023-10-10 21:24:00,PLN,0.08432367,222,23,Tuesday
2023-10-10 21:23:00,PLN,0.0667339,195,23,Tuesday
2023-10-10 21:22:00,PLN,0.086032055,222,25,Tuesday
2023-10-10 21:21:00,PLN,0.07987172,221,27,Tuesday
2023-10-10 21:20:00,PLN,0.08087631,228,30,Tuesday
2023-10-10 21:19:00,PLN,0.071521245,214,25,Tuesday
2023-10-10 21:18:00,PLN,0.09341573,198,35,Tuesday
2023-10-10 21:17:00,PLN,0.08234789,207,35,Tuesday
2023-10-10 21:16:00,PLN,0.08740073,250,32,Tuesday
2023-10-10 21:15:00,PLN,0.06666518,223,31,Tuesday
2023-10-10 21:14:00,PLN,0.033934172,223,17,Tuesday
2023-10-10 21:13:00,PLN,0.059592314,223,26,Tuesday
2023-10-10 21:12:00,PLN,0.06574197,240,29,Tuesday
2023-10-10 21:11:00,PLN,0.03702292,223,24,Tuesday
2023-10-10 21:10:00,PLN,0.056183413,242,28,Tuesday
2023-10-10 21:09:00,PLN,0.051352143,228,19,Tuesday
2023-10-10 21:08:00,PLN,0.027842293,220,23,Tuesday
2023-10-10 21:07:00,PLN,0.018422822,218,17,Tuesday
2023-10-10 21:06:00,PLN,0.015461323,218,15,Tuesday
2023-10-10 21:05:00,PLN,0.025933525,200,20,Tuesday
2023-10-10 21:04:00,PLN,0.03217714,225,20,Tuesday
2023-10-10 21:03:00,PLN,0.027871119,235,17,Tuesday
2023-10-10 21:02:00,PLN,0.045101773,217,22,Tuesday
2023-10-10 21:01:00,PLN,0.070845164,220,22,Tuesday
2023-10-10 21:00:00,PLN,0.047366,199,16,Tuesday
2023-10-10 20:59:00,PLN,0.056103393,195,20,Tuesday
2023-10-10 20:58:00,PLN,0.03036277,193,13,Tuesday
2023-10-10 20:57:00,PLN,0.032021344,179,21,Tuesday
2023-10-10 20:56:00,PLN,0.04287294,185,14,Tuesday
2023-10-10 20:55:00,PLN,0.027628047,202,12,Tuesday
2023-10-10 20:54:00,PLN,0.02993592,186,12,Tuesday
2023-10-10 20:53:00,PLN,0.0323793,199,14,Tuesday
2023-10-10 20:52:00,PLN,0.056954674,227,20,Tuesday
2023-10-10 20:51:00,PLN,0.054356582,197,18,Tuesday
2023-10-10 20:50:00,PLN,0.048364207,224,16,Tuesday
2023-10-10 20:49:00,PLN,0.049445882,224,16,Tuesday
2023-10-10 20:48:00,PLN,0.062475987,248,18,Tuesday
2023-10-10 20:47:00,PLN,0.071302444,240,25,Tuesday
